Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
table[0],6,0.00019140129674378545,1656072,52.829054716845704
elem[0],1902,0.06067421106777999,1656066,52.82886331554896
code[60],24715,0.7884138415037761,355187,11.330542064422486
code[277],1966,0.0627158248997137,314312,10.026620730355448
code[2105],10468,0.33393146238565763,312188,9.958864671308149
code[1102],8190,0.2612627700552671,268280,8.558189981737126
code[3456],16430,0.5241205509167324,257232,8.20575639399957
code[304],25631,0.8176344394733274,251203,8.013429990988188
data[0],231690,7.390961073761275,231690,7.390961073761275
code[308],56738,1.8099544624414832,199855,6.375417693454873
code[2116],8111,0.258742652981474,132035,4.211945035927618
code[2145],11307,0.36069574371366364,121650,3.8806612914802496
code[3054],952,0.030369005750013955,111268,3.5494732476812527
code[3055],11087,0.35367769616639155,110316,3.519104241931239
code[4010],12537,0.39993300954613964,105792,3.3747876641864245
"export ""canister_query canic_metrics""",32,0.0010208069159668557,98449,3.1405443771881556
code[5288],9,0.00028710194511567816,98417,3.1395235702721886
code[1179],4218,0.13455511161088116,98408,3.139236468327073
code[1047],9937,0.31699244762383266,87836,2.801987383464523
code[117],5750,0.1834262427127944,77783,2.4812945107703106
code[4058],16587,0.5291288848481949,75822,2.4187381869512166
code[1180],22164,0.7070363901715434,75020,2.3931542136197974
code[2475],10958,0.34956256828640014,72599,2.31592379038368
code[197],3131,0.09987957668413203,70578,2.251453453597148
code[3061],11453,0.36535317526776245,66455,2.1199288625180435
code[294],6185,0.19730283672671883,57278,1.8271805791484237
code[2510],13212,0.42146565542981557,48048,1.5327415843242338
code[2121],8137,0.259572058600697,46657,1.4883683836957995
code[2670],1541,0.04915823304702889,43723,1.3947731495880884
code[2672],8556,0.272938249156638,42038,1.3410212854192087
code[1163],994,0.031708814827220454,39422,1.2575703200389183
code[3206],10928,0.3486055618026812,38428,1.225861505211698
code[3588],563,0.017959821677791865,37555,1.198012616535477
code[2119],7904,0.25213930824381336,37461,1.1950139962198243
code[3593],10468,0.33393146238565763,36992,1.1800527948576853
code[2120],7883,0.2514694037052101,36912,1.1775007775677682
code[2212],10166,0.3242975971162204,36210,1.1551068258487451
code[915],1034,0.03298482347217902,34907,1.1135408442392196
code[918],33873,1.0805560207670408,33873,1.0805560207670408
code[2118],8074,0.2575623449848873,33145,1.0573326634287947
