Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
data[0],230282,7.458040788275808,,
code[225],56447,1.8281239018933506,,
code[908],33873,1.0970297966027152,,
code[458],28912,0.9363600944521506,,
code[221],25631,0.8300998056482801,,
code[38],24115,0.7810017874140015,,
code[1108],22164,0.717815617509597,,
code[3753],19481,0.6309224889327043,,
code[813],18112,0.5865852943662615,,
code[3987],18076,0.5854193783659752,,
code[2288],16571,0.5366776122428952,,
code[3380],16430,0.5321111079084406,,
code[4789],15581,0.5046149222350221,,
code[32],14752,0.47776646767287373,,
code[3231],14276,0.46235046722464385,,
code[2430],13212,0.42789117210507105,,
code[3787],12951,0.4194382811029954,,
code[3939],12537,0.406030247099703,,
code[1858],12390,0.4012694234318673,,
code[2100],11765,0.3810278262046746,,
code[2116],11667,0.3778539437594508,,
code[957],11629,0.3766232546480375,,
code[2979],11453,0.37092322086886004,,
code[2067],11307,0.3661947837565878,,
code[1022],11304,0.36609762408989727,,
code[2973],11087,0.359069741532616,,
code[2395],10958,0.35489187586492343,,
code[3124],10928,0.3539202791980182,,
code[2826],10923,0.35375834642020065,,
code[4300],10832,0.3508111698639214,,
code[2029],10468,0.3390224636388044,,
code[3515],10468,0.3390224636388044,,
code[1523],10198,0.33027809363665717,,
code[2133],10166,0.3292417238586249,,
code[2394],10137,0.3283025137472832,,
code[992],9967,0.3227967993014868,,
code[2689],9917,0.3211774715233114,,
code[973],9864,0.3194609840784454,,
code[2084],9836,0.31855416052266716,,
code[210],9803,0.3174854041890714,,
