Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
data[0],232770,7.1611028166019945,,
code[230],56455,1.7368220110463788,,
code[940],33873,1.0420932066278272,,
code[463],28912,0.8894694532525534,,
code[226],25631,0.7885304218427018,,
code[43],24115,0.7418911132119993,,
code[1252],22164,0.6818691533581072,,
code[1113],19562,0.6018193637426138,,
code[881],18112,0.5572105263319814,,
code[4155],18076,0.5561029965755795,,
code[2431],16571,0.5098020998148888,,
code[3550],16430,0.5054642749356479,,
code[5072],15581,0.4793450315138363,,
code[37],14752,0.45384108240113685,,
code[595],14304,0.44005848987702423,,
code[3405],14276,0.43919707784426715,,
code[2573],13212,0.40646342059949975,,
code[3955],12951,0.3984338298655859,,
code[4107],12537,0.38569723766696395,,
code[2003],12390,0.3811748244949895,,
code[2244],11765,0.3619468773352342,,
code[2260],11667,0.35893193522058453,,
code[1048],11629,0.3577628760332714,,
code[3123],11453,0.35234828611308433,,
code[1168],11323,0.3483488731038552,,
code[2211],11307,0.3478566376565655,,
code[3117],11087,0.34108840025633164,,
code[4395],10979,0.3377658109871259,,
code[2538],10958,0.3371197519625581,,
code[3268],10928,0.33619681049888983,,
code[2968],10866,0.3342893981406421,,
code[4560],10832,0.33324339781515144,,
code[2173],10468,0.3220450413893099,,
code[3686],10468,0.3220450413893099,,
code[1670],10198,0.31373856821629564,,
code[2277],10166,0.31275409732171616,,
code[2537],10137,0.31186192057350354,,
code[1078],10000,0.30764715455608516,,
code[2832],9917,0.3050936831732696,,
code[1095],9864,0.30346315325412243,,
