Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
data[0],232642,7.167844556718348,,
code[230],56455,1.7394136245799743,,
code[904],33873,1.0436481747479844,,
code[463],28912,0.8907966825587852,,
code[226],25631,0.7897070341264604,,
code[43],24115,0.7429981322601378,,
code[1251],22164,0.6828866101353388,,
code[1102],19885,0.6126692042294356,,
code[881],18112,0.5580419726931626,,
code[4146],18076,0.5569327903269439,,
code[2423],16571,0.5105628052947436,,
code[3542],16430,0.5062185076937202,,
code[5066],15581,0.48006029022372826,,
code[37],14752,0.45451828517941334,,
code[595],14304,0.44071512684424674,,
code[3397],14276,0.43985242944829883,,
code[2565],13212,0.40706992840227824,,
code[3946],12951,0.3990283562471924,,
code[4098],12537,0.38627275903567687,,
code[1995],12390,0.3817435977069503,,
code[2236],11765,0.36248695940454156,,
code[2252],11667,0.35946751851872394,,
code[1044],11629,0.3582967149099375,,
code[3115],11453,0.35287404556397917,,
code[1166],11323,0.3488686647970782,,
code[2203],11307,0.34837569485653647,,
code[3109],11087,0.34159735817408865,,
code[4386],10979,0.3382698110754324,,
code[2530],10958,0.33762278802847145,,
code[3260],10928,0.33669846938995585,,
code[2960],10866,0.33478821087035693,,
code[4551],10832,0.33374064974670586,,
code[2165],10468,0.32252558359938305,,
code[3678],10468,0.32252558359938305,,
code[1663],10198,0.31420671585274246,,
code[2269],10166,0.31322077597165915,,
code[2529],10137,0.3123272679544274,,
code[1082],10000,0.3081062128385394,,
code[2824],9917,0.3055489312719795,,
code[1071],9864,0.30391596834393525,,
