Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
data[0],232458,7.19391999286977,,
code[266],56738,1.7558812024341817,,
code[961],33873,1.0482738899864823,,
code[262],25631,0.7932072173779567,,
code[490],24733,0.7654166480983575,,
code[76],24115,0.746291289729992,,
code[1202],22164,0.6859133379877894,,
code[4477],20201,0.625164020063677,,
code[847],18112,0.5605153572295092,,
code[4114],16587,0.5133209049451121,,
code[2389],16571,0.5128257500358988,,
code[3510],16430,0.5084621973984561,,
code[4994],15581,0.48218804002832283,,
code[70],14752,0.4565328262947063,,
code[2531],13212,0.4088741662829216,,
code[3916],12957,0.4009826349173339,,
code[4066],12537,0.3879848185504835,,
code[1059],12483,0.38631367073188844,,
code[1957],12390,0.3834355828220859,,
code[2200],11765,0.3640935941809395,,
code[2216],11667,0.3610607703620078,,
code[1016],11629,0.35988477745262604,,
code[3082],11453,0.35443807345127926,,
code[1117],11323,0.3504149398139208,,
code[2166],11307,0.34991978490470743,,
code[3076],11087,0.3431114049030239,,
code[4370],10979,0.3397691092658338,,
code[2496],10958,0.3391192184474913,,
code[3227],10928,0.33819080299271626,,
code[2924],10866,0.33627207771951456,,
code[4504],10832,0.3352198735374362,,
code[2128],10468,0.32395509935283257,,
code[3649],10468,0.32395509935283257,,
code[1623],10198,0.3155993602598573,,
code[2233],10166,0.3146090504414306,,
code[2495],10137,0.31371158216848144,,
code[1253],10059,0.3112977019860663,,
code[1093],10000,0.30947181825834214,,
code[2790],9917,0.3069032021667979,,
code[1048],9864,0.30526300153002867,,
