Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
table[0],6,0.00018182314063110811,1807840,54.78452442642375
elem[0],1945,0.05894100142125088,1807834,54.78434260328312
code[1180],10000,0.3030385677185135,452848,13.723040931419343
code[496],24733,0.7495052895381995,361736,10.96199593322242
code[239],1966,0.059577382413459765,314312,9.524865829674143
code[2206],10468,0.31722077268773996,312188,9.46050043789073
code[1204],8062,0.24430969329466562,268232,8.128464109627233
code[3587],16430,0.4978923667615177,257312,7.797545993678616
code[268],25631,0.776718152919322,248453,7.529084126536785
data[0],233538,7.077102102784622,233538,7.077102102784622
code[272],56746,1.719622656375477,199863,6.056619725992527
code[2217],8111,0.24579458227648632,132035,4.001169728871393
code[2246],11307,0.34264570851932324,121650,3.6864641762957175
code[3154],952,0.02884927164680249,111268,3.371849535290356
code[3155],11087,0.335978860029516,110316,3.3430002636435536
code[4140],12537,0.37991945234870045,105872,3.2083299241494467
"export ""canister_query canic_metrics""",32,0.0009697234166992433,98417,2.982414671915295
code[5565],9,0.00027273471094666217,98385,2.9814449484985954
code[1282],4218,0.127821667863669,98376,2.981172213787649
code[49],5750,0.1742471764381453,77783,2.357124891284914
code[4188],16587,0.5026500722746985,75822,2.2976990281553133
code[1283],22164,0.6716546814913134,74988,2.272425611607589
code[1117],19423,0.5885918100796689,74007,2.242697528114403
code[2575],10958,0.33206966250594716,72599,2.2000296977796365
code[141],3131,0.0948813755526666,70578,2.1387856032437247
code[3161],11453,0.34707007160801356,66455,2.013842801773382
code[258],6185,0.1874293541339006,57278,1.7357443081781019
code[2610],13212,0.40037455566970004,48048,1.456039710173914
code[2222],8137,0.24658248255255447,46657,1.4138870454042687
code[2770],1541,0.046698243285422936,43723,1.324975529635657
code[2772],8556,0.2592797985399602,42038,1.273913530975087
code[1266],994,0.030122033631220246,39422,1.1946386416599242
code[3306],10928,0.3311605468027916,38428,1.1645166080287037
code[3717],563,0.01706107136255231,37555,1.1380613410668776
code[2220],7904,0.2395216839247131,37461,1.1352127785303237
code[3722],10468,0.31722077268773996,36992,1.1210002697043253
code[2221],7883,0.2388853029325042,36912,1.1185759611625772
code[2313],10166,0.30806900794264086,36210,1.0973026537087376
code[922],1034,0.031334187902094295,34907,1.0578167283350153
code[925],33873,1.026482540432921,33873,1.026482540432921
