Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
data[0],144762,7.053018222319015,,
code[571],26277,1.280254209170064,,
code[57],24178,1.177987832298733,,
code[3228],19384,0.9444170792157597,,
code[453],18855,0.9186434187274634,,
code[692],16915,0.8241237564452423,,
code[1941],16571,0.807363568906539,,
code[189],13749,0.6698715653186896,,
code[2083],13296,0.6478007369610369,,
code[2966],12951,0.6309918279469307,,
code[826],12735,0.620467989259838,,
code[1519],12458,0.6069721405731497,,
code[717],11955,0.5824652384453367,,
code[1751],11728,0.5714054635288087,,
code[1767],11641,0.5671666951687299,,
code[1716],11307,0.5508937223840586,,
code[2556],11240,0.5476293835320439,,
code[3104],11048,0.5382748602546281,,
code[2454],10857,0.5289690584526158,,
code[2048],10810,0.526679149108665,,
code[3253],10800,0.5261919343546329,,
code[824],10794,0.5258996055022136,,
code[1676],10510,0.5120627064877029,,
code[543],10368,0.5051442569804476,,
code[1195],10198,0.49686160616190245,,
code[1784],10166,0.4953025189489998,,
code[2047],10110,0.49257411632642023,,
code[2336],10105,0.49233050894940417,,
code[672],10017,0.48804301911392195,,
code[1734],9820,0.4784448884594903,,
code[58],9634,0.4693826940344938,,
code[1968],9348,0.4554483520691767,,
code[2625],9241,0.4502351542010336,,
code[802],8785,0.42801816141717125,,
code[533],8704,0.4240717219095116,,
code[1683],8502,0.4142299838780638,,
code[2244],8449,0.41164774568169377,,
code[2692],8269,0.40287788010911657,,
code[1690],7904,0.3850945415869461,,
code[2938],7890,0.3844124409313013,,
