Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
data[0],146714,7.32671012667457,,
code[615],26233,1.3100425777570919,,
code[158],24178,1.2074184975035631,,
code[2920],19521,0.9748538543207486,,
code[510],18855,0.9415946633480718,,
code[712],17153,0.8565989530845651,,
code[1981],16571,0.8275346150273614,,
code[687],15849,0.7914788554443698,,
code[2123],13212,0.659790437133637,,
code[857],12766,0.6375177657014843,,
code[1548],12454,0.6219368834440142,,
code[1793],11765,0.587529101792101,,
code[1809],11667,0.5826351067240496,,
code[747],11599,0.579239273411524,,
code[1760],11307,0.5646571656577379,,
code[2596],11276,0.5631090651770277,,
code[3156],11019,0.5502748128046886,,
code[2088],10958,0.5472285505684525,,
code[2500],10923,0.5454806951870056,,
code[3181],10832,0.5409362711952435,,
code[855],10794,0.5390385996382439,,
code[1722],10468,0.522758575228195,,
code[659],10431,0.5209108423963796,,
code[589],10406,0.5196623742667746,,
code[1222],10198,0.5092751194284613,,
code[1826],10166,0.507677080222567,,
code[2087],10137,0.5062288571922252,,
code[2368],10052,0.5019840655515682,,
code[1777],9836,0.49119730091178126,,
code[159],9634,0.4811096784245731,,
code[2008],9348,0.4668272030218921,,
code[3039],8876,0.4432561247349502,,
code[574],8710,0.43496629635437317,,
code[834],8585,0.4287239557063483,,
code[2282],8556,0.42727573267600655,,
code[1727],8502,0.4245790415160598,,
code[2698],8269,0.4129433185481414,,
code[1736],8137,0.40635140682382714,,
code[1731],8111,0.405052999969038,,
code[1733],8074,0.40320526713722266,,
