Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
table[0],6,0.0002920937523580485,1199724,58.40531415900123
elem[0],1343,0.0653803182361432,1199718,58.40502206524888
code[1702],1966,0.09570938618932057,315504,15.359457873995625
code[1704],10468,0.5096062332806752,313380,15.256056685660873
data[0],144634,7.041114629758999,144634,7.041114629758999
code[599],24921,1.2132114004191545,143803,7.000659645057408
code[1715],8111,0.39486207089602193,132384,6.444756552027983
code[1744],11307,0.5504506763187424,121835,5.931207053090474
code[2074],10958,0.533460556389916,72784,3.5432919452713674
code[3253],19384,0.9436575492847354,65999,3.212982593646474
code[11],7595,0.3697420081932298,63998,3.1155693272350646
code[818],939,0.045712672244034594,57310,2.7899821579399604
code[2583],11276,0.5489415252648925,56371,2.7442694856959253
code[2109],13212,0.6431904426924229,48233,2.3480929929142924
code[1720],8137,0.39612781048957346,46817,2.279158867357793
code[556],16915,0.8234609701893985,45560,2.217965226238782
code[650],1541,0.0750194120639588,43904,2.13734735058796
code[2271],8556,0.4165256908625772,42219,2.0553176884674085
code[719],11414,0.5556596815691276,37786,1.83950908776687
code[1718],7904,0.38478483643966926,37461,1.823687342847476
code[464],18855,0.9179046167851675,37417,1.82154532199685
"export ""canister_query canic_metrics""",32,0.001557833345909592,37034,1.8029000041379948
code[3802],9,0.00043814062853707276,37002,1.8013421707920851
code[836],10794,0.5254766604921293,36993,1.8009040301635482
code[1719],7883,0.3837625083064161,36912,1.7969607645067145
code[1812],10166,0.4949041810786535,36210,1.762785795480823
code[1717],8074,0.39306082608981396,33214,1.6169336484700374
code[546],8704,0.423730670087409,32429,1.5787180492031927
code[57],24178,1.1770404574188162,31755,1.5459061843549717
code[753],2004,0.0975593132875882,31130,1.515479751817675
code[699],10368,0.5047380040747078,30323,1.4761931421255174
code[1527],12454,0.6062892653111894,28968,1.4102286363846583
code[645],863,0.04201281804749931,28953,1.409498402003763
code[2754],7170,0.34905203406786794,28753,1.3997619435918283
code[3009],12951,0.6304843644648477,28090,1.3674855839562639
code[1779],11765,0.5727471660820734,27459,1.336767057666609
code[1968],16571,0.8067142617208704,27399,1.3338461201430285
code[1795],11667,0.5679763014602254,26964,1.31266932309707
code[2361],1707,0.0831006725458648,26837,1.3064866720054913
code[3128],824,0.040114208657171996,26113,1.271240692554287
