Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
table[0],6,0.00033566884254669714,980385,54.847449700023944
elem[0],1269,0.07099396019862644,980379,54.8471140311814
code[1515],1966,0.10998749074113442,343941,19.241712895725595
code[1517],10468,0.5856302406298043,341817,19.12288612546406
data[0],137486,7.6916277477292,137486,7.6916277477292
code[1528],8111,0.4537683303160434,132199,7.39584755263847
code[1557],11307,0.6325679337792507,121650,6.805685782634284
code[412],26027,1.456075494160481,90671,5.072571603758596
code[1888],10958,0.6130431961044511,72599,4.061537050007944
code[2911],17294,0.9675094938337634,62967,3.522676668106313
code[663],939,0.052532173858558094,57310,3.206196894391869
code[2391],11276,0.6308336447594262,56371,3.1536647205333104
code[522],17126,0.9581107662424558,48894,2.735365397913035
code[1923],13212,0.7391427912878271,48048,2.6880360911139505
code[1533],8137,0.45522289530041243,46817,2.6191680335847867
code[2735],21073,1.1789249198310914,46099,2.578999662093365
code[491],1541,0.08621094772741004,43904,2.4562008105283653
code[2081],8556,0.4786637694715901,42219,2.3619338105798344
code[331],18855,1.0548393377029956,37557,2.1011191199210506
code[1531],7904,0.4421877552481824,37461,2.0957484184403037
code[1],9933,0.5556997688360571,37020,2.0710767585131213
code[1532],7883,0.4410129142992689,36912,2.0650347193472807
code[1625],10166,0.5687349088882871,36210,2.025761464769317
"export ""canister_query canic_metrics""",32,0.001790233826915718,34033,1.9039696197319573
code[3364],9,0.0005035032638200458,34001,1.9021793859050415
code[670],7793,0.43597788166106843,33992,1.9016758826412214
code[1530],8074,0.4516983724536721,33214,1.8581508227243333
code[397],8710,0.487279269763622,32435,1.8145698180003536
code[603],2004,0.11211339341059684,31130,1.741561844746447
code[566],10396,0.581602214519244,29976,1.677001537363299
code[1343],12454,0.696736627512761,28968,1.6206091718154538
code[2548],7176,0.40145993568584976,28759,1.6089167071334103
code[1592],11765,0.658190655426982,27459,1.5361884579149594
code[1780],16571,0.9270613983068863,27399,1.5328317694894924
code[1608],11667,0.6527080643320525,26964,1.508495778404857
code[2165],1707,0.09549778570453533,26837,1.5013907879042852
code[482],863,0.04828036851963327,26420,1.4780618033472896
"export ""canister_init""",17,0.0009510617205489752,26105,1.4604391891135882
code[3356],9,0.0005035032638200458,26088,1.4594881273930391
code[577],12059,0.6746384287117702,26079,1.458984624129219
