Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
table[0],6,0.00033568386636201493,980305,54.8454287690025
elem[0],1269,0.07099713773556615,980299,54.84509308513614
code[1516],1966,0.10999241354462022,343941,19.24257411340296
code[1518],10468,0.5856564521795954,341817,19.123742024710808
data[0],137486,7.691972008441331,137486,7.691972008441331
code[1529],8111,0.4537886400103839,132199,7.396178574865335
code[1558],11307,0.6325962461592171,121650,6.805990390489852
code[483],26033,1.4564763488337222,90677,5.073134325018071
code[1889],10958,0.6130706345991599,72599,4.06171883566932
code[2912],17294,0.9675527974774476,62967,3.522834335536165
code[660],939,0.05253452508565533,57310,3.206340396867845
code[2392],11276,0.6308618795163466,56371,3.1538058717821906
code[407],17132,0.9584893330856733,48900,2.7358235108504214
code[1924],13212,0.7391758737291568,48048,2.6881564018270154
code[1534],8137,0.45524327009795257,46817,2.619285261911742
code[2736],21085,1.1796490537071807,46098,2.5790591452593605
code[548],1541,0.0862148063439775,43904,2.4563107447929835
code[2082],8556,0.4786851934322333,42219,2.362039525656318
code[326],18855,1.0548865500426319,37557,2.1012131614930323
code[1532],7904,0.4422075466208943,37461,2.09584221963124
code[1],9933,0.5557246407623156,37020,2.071169455453632
code[1533],7883,0.44103265308862727,36912,2.065127145859116
code[1626],10166,0.5687603642393739,36210,2.0258521334947597
"export ""canister_query canic_metrics""",32,0.0017903139539307462,34033,1.9040548373164088
code[3363],9,0.0005035257995430223,34001,1.902264523362478
code[667],7793,0.435997395093197,33992,1.9017609975629353
code[1531],8074,0.45171858950115135,33214,1.858233989557994
code[392],8710,0.487301079335525,32435,1.8146510342419924
code[599],2004,0.11211841136491298,31130,1.7416397933082541
code[471],10402,0.5819639296496132,29982,1.6774122802109885
code[1344],12454,0.6967678119454224,28968,1.620681706795808
code[2548],7176,0.40147790416896983,28759,1.6089887187841978
code[1593],11765,0.658220114624851,27459,1.5362572144057614
code[1781],16571,0.9271028915808249,27399,1.532900375742141
code[1609],11667,0.652737278140938,26964,1.508563295430895
code[2166],1707,0.09550205997999324,26837,1.5014579869262323
code[542],863,0.04828252944506981,26420,1.4781279582140723
"export ""canister_init""",17,0.0009511042880257089,26105,1.4605045552300666
code[3355],9,0.0005035257995430223,26088,1.459553450942041
code[572],12059,0.6746686240765896,26079,1.4590499251424978
