Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
table[0],6,0.00033213322527932403,997342,55.20840252775526
elem[0],1273,0.07046759929676324,997336,55.20807039452998
code[1563],1966,0.10882898681652518,343941,19.03903893929933
code[1565],10468,0.5794617670373273,341817,18.92146377755045
data[0],137742,7.624782452737441,137742,7.624782452737441
code[1576],8111,0.4489887650400996,132199,7.317946708116893
code[1605],11307,0.6259050630388862,121650,6.734001142538296
code[543],26030,1.4409046423368008,90674,5.019308011496238
code[1936],10958,0.6065859804351388,72599,4.018756670342275
code[2951],17294,0.957318666330105,62967,3.4855721326938665
code[712],939,0.05197884975621421,57310,3.1724258567930104
code[2436],11276,0.6241890413749429,56371,3.120447007036796
code[504],17132,0.9483510692475633,48900,2.7068857860264908
code[1971],13212,0.7313573620650715,48048,2.659722868036827
code[1581],8137,0.45042800901630997,46817,2.591580201317019
code[607],1541,0.08530288335923973,43904,2.430329520443907
code[2129],8556,0.47362197924831606,42219,2.3370554396779637
code[354],18855,1.0437286604402758,37557,2.0789879236359288
code[1579],7904,0.43753016876796286,37461,2.07367379203146
code[1],9933,0.5498465544499209,37020,2.0492619999734294
code[1580],7883,0.43636770247948525,36912,2.0432836019184015
code[1673],10166,0.562744394698268,36210,2.0044240145607204
"export ""canister_query canic_metrics""",32,0.0017713772014897283,34035,1.8840257203969657
code[3402],9,0.0004981998379189861,34003,1.8822543431954757
code[719],7795,0.4314964151753885,33994,1.8817561433575567
code[1578],8074,0.44694061015087705,33214,1.8385788240712446
code[428],8710,0.4821467320304854,32435,1.7954568603224794
code[657],2004,0.11093249724329424,31130,1.723217883824226
code[482],10402,0.5758083015592548,29982,1.6596697267207823
code[1391],12454,0.6893978646047836,28968,1.6035392116485765
code[2591],7176,0.3972313374340715,28759,1.5919699043013467
code[1640],11765,0.6512578992352078,27459,1.5200077054908265
code[1828],16571,0.9172966126839464,27399,1.5166863732380333
code[1656],11667,0.6458330565556456,26964,1.4926067144052824
code[2213],1707,0.09449190259196769,26837,1.4855765611368699
"export ""canister_init""",17,0.0009410441382914181,26459,1.4646521679442726
code[3394],9,0.0004981998379189861,26442,1.463711123805981
code[631],12413,0.6871282875653748,26433,1.4632129239680622
code[601],863,0.04777182890267611,26420,1.4624933019799569
code[533],864,0.047827184440222666,25930,1.4353690885821453
