Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
data[0],137742,7.624782452737441,,
code[543],26030,1.4409046423368008,,
code[354],18855,1.0437286604402758,,
code[2951],17294,0.957318666330105,,
code[504],17132,0.9483510692475633,,
code[1828],16571,0.9172966126839464,,
code[443],14046,0.7775238803788975,,
code[1971],13212,0.7313573620650715,,
code[721],12766,0.7066687923193085,,
code[1391],12454,0.6893978646047836,,
code[631],12413,0.6871282875653748,,
code[1640],11765,0.6512578992352078,,
code[1656],11667,0.6458330565556456,,
code[1605],11307,0.6259050630388862,,
code[2436],11276,0.6241890413749429,,
code[1936],10958,0.6065859804351388,,
code[2332],10923,0.6046485366210095,,
code[2802],10762,0.5957362950760142,,
code[1565],10468,0.5794617670373273,,
code[482],10402,0.5758083015592548,,
code[1065],10198,0.5645157718997578,,
code[1673],10166,0.562744394698268,,
code[1935],10137,0.5611390841094179,,
code[2215],10052,0.5564338634179609,,
code[1],9933,0.5498465544499209,,
code[1623],9836,0.5444770673079052,,
code[51],9634,0.5332952487235013,,
code[1855],9348,0.5174635649851869,,
code[2778],8919,0.4937160393777152,,
code[428],8710,0.4821467320304854,,
code[2129],8556,0.47362197924831606,,
code[1572],8502,0.4706327802208022,,
code[1581],8137,0.45042800901630997,,
code[1576],8111,0.4489887650400996,,
code[1578],8074,0.44694061015087705,,
code[709],8036,0.44483709972410795,,
code[1579],7904,0.43753016876796286,,
code[1580],7883,0.43636770247948525,,
code[719],7795,0.4314964151753885,,
code[1991],7588,0.4200378189032518,,
