Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
data[0],762154,19.416620427762094,,
code[2925],27884,0.7103722397412049,,
code[535],25802,0.6573312483790907,,
code[364],25662,0.6537646111117056,,
code[247],19842,0.5054944047104069,,
code[992],18112,0.4614209584777184,,
code[3513],16571,0.42216247255600003,,
code[1234],15883,0.40463499798485,,
code[587],15796,0.4024185876829749,,
code[5114],15628,0.3981386229621126,,
code[5451],15604,0.3975271994305609,,
code[90],15133,0.3855280126238579,,
code[1053],13778,0.35100805907166543,,
code[2993],13252,0.33760769333848967,,
code[3654],13212,0.3365886541192368,,
code[2728],13209,0.3365122261777928,,
code[1113],12784,0.3256849344732306,,
code[3145],12390,0.3156473981635894,,
code[2636],12248,0.31202980893524157,,
code[2999],12246,0.31197885697427896,,
code[1147],12127,0.30894721529700153,,
code[3347],11765,0.29972491036276266,,
code[3363],11667,0.297228264275593,,
code[5259],11651,0.29682064858789187,,
code[372],11583,0.2950882819151619,,
code[4152],11453,0.29177640445258995,,
code[650],11385,0.29004403777986004,,
code[2119],11385,0.29004403777986004,,
code[2174],11377,0.28984022993600944,,
code[3314],11307,0.28805691130231686,,
code[4306],11276,0.2872671559073958,,
code[2444],11243,0.28642644855151217,,
code[4146],11087,0.2824521955964258,,
code[1041],10997,0.2801593573531068,,
code[3619],10958,0.2791657941143352,,
code[2095],10902,0.2777391392073811,,
code[4047],10864,0.2767710519490908,,
code[4748],10768,0.27432535782288386,,
code[1073],10668,0.2717777597747516,,
code[3277],10468,0.26668256367848703,,
