canister	endpoint_or_flow	scenario_key	count	total_local_instructions	avg_local_instructions
audit_leaf_probe	audit_time_probe	app:canic_time:minimal-valid	1	34668	34668
audit_leaf_probe	audit_env_probe	app:canic_env:minimal-valid	1	36320	36320
audit_leaf_probe	audit_log_probe	app:canic_log:empty-page	1	314764	314764
audit_root_probe	audit_subnet_registry_probe	root:canic_subnet_registry:full-registry	1	76585	76585
audit_root_probe	audit_subnet_state_probe	root:canic_subnet_state:empty-struct	1	32261	32261
audit_scaling_probe	audit_plan_create_worker_probe	scale_hub:plan_create_worker:empty-pool	1	64549	64549
root	canic_request_delegation	root:canic_request_delegation:fresh-shard	1	1695749	1695749
test	test	test:test:minimal-valid	1	817	817
root	canic_response_capability_v1	root:canic_response_capability_v1:request-cycles-fresh	1	488780	488780
root	canic_template_stage_manifest_admin	root:canic_template_stage_manifest_admin:single-chunk	1	416789	416789
root	canic_template_prepare_admin	root:canic_template_prepare_admin:single-chunk	1	187499	187499
root	canic_template_publish_chunk_admin	root:canic_template_publish_chunk_admin:single-chunk	1	332061	332061
