Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
table[0],6,0.00033092530023197864,1039204,57.316482617045516
elem[0],1284,0.07081801424964343,1039198,57.31615169174529
code[1547],1966,0.10843319004267833,343941,18.969796447847827
code[1549],10468,0.577354340471392,341817,18.852648891565707
data[0],137318,7.573666729542474,137318,7.573666729542474
code[1560],8111,0.4473558516969298,132199,7.291332294227891
code[1589],11307,0.6236287282871638,121650,6.709510462203366
code[547],24829,1.369424046576633,90176,4.973586645619817
code[1920],10958,0.6043799066570037,72599,4.004140978590236
code[2967],17671,0.9746301633998824,63344,3.4936887029824093
code[706],939,0.05178980948630466,57310,3.1608881593824494
code[2425],11276,0.6219189475692986,56371,3.109098349896145
code[1955],13212,0.7286975111108169,48048,2.650049804257685
code[1565],8137,0.44878986133126836,46817,2.5821549634934238
code[413],16915,0.9329335755706532,43927,2.422759277215021
code[602],1541,0.08499264794291318,43904,2.4214907302307984
code[2115],8556,0.4718994781308016,42219,2.3285558750823174
code[335],18855,1.0399327559789928,37557,2.07142691680207
code[1563],7904,0.43593892883892654,37461,2.0661321119983587
code[1],9933,0.5478468345340407,37020,2.041809102431308
code[1564],7883,0.43478069028811456,36912,2.0358524470271324
code[1657],10166,0.5606977670263824,36210,1.997134186899991
code[1562],8074,0.44531514567883257,33214,1.8318921536508233
code[397],8710,0.48039322750342234,32435,1.7889270188373712
code[652],2004,0.11052905027748086,31130,1.7169507660369159
code[493],10406,0.5739347790356616,29986,1.6538543421260186
code[1382],12454,0.6868906148481769,28968,1.5977073495199927
code[2576],7176,0.3957866590774464,28759,1.5861801182285789
code[1624],11765,0.6488893595382047,27459,1.5144796365116502
code[1811],16571,0.9139605250240197,27399,1.5111703835093304
code[1640],11667,0.6434842463010825,26964,1.487178299242512
code[2199],1707,0.09414824791599792,26837,1.480173713720935
"export ""canister_init""",17,0.0009376216839906062,26459,1.4593254198063206
code[3395],9,0.000496387950347968,26442,1.4583877981223299
code[626],12413,0.6846292919632585,26433,1.4578914101719818
code[596],863,0.04759808901669959,26420,1.4571744053548126
code[453],864,0.047653243233404925,25694,1.417132444026743
code[2794],10762,0.593569680182759,25557,1.409576316338113
code[2318],10866,0.5993057187201134,24830,1.3694792007933383
code[2201],10052,0.5544101863219748,24081,1.328168692481046
