Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
table[0],6,0.0001499199052905985,2553800,63.810909021855075
elem[0],1859,0.04645018398920377,2553794,63.810759101949785
data[0],732138,18.2936766032747,732138,18.2936766032747
code[231],1974,0.0493236488406069,341438,8.531392103768562
code[3367],10468,0.26156026143033084,339306,8.478120564088636
code[3375],8111,0.20266672530200738,132035,3.299112449174029
code[3404],11307,0.2825240615201329,121650,3.0396260797668844
code[606],2136,0.05337148628345306,112660,2.814996088339804
code[4235],952,0.023787291639441627,111268,2.7802146703123856
code[2131],10902,0.2724044679130175,110366,2.7576767112170324
code[4236],11087,0.27702699832614425,110316,2.756427378672944
code[3706],10958,0.2738037203623964,72599,1.8140058673653603
code[251],5875,0.1467965739303777,68334,1.7074378013546263
code[4242],11453,0.28617211254887076,66455,1.660487884347787
code[4753],6753,0.16873485340456862,62459,1.5606412274242487
code[2158],7872,0.19669491574126524,59194,1.4790598122952814
code[1393],939,0.023462465177978665,57310,1.4319849620340335
code[1189],12959,0.323802008776811,56468,1.410946201991586
code[4397],11276,0.28174947534279815,56371,1.4085224968560546
code[2582],769,0.019214734528078373,54480,1.3612727400386344
code[2583],12248,0.3060364999998751,53711,1.342058005510556
code[364],28898,0.722064237181286,51184,1.2789167387323324
code[2212],11377,0.28427312708185654,49057,1.225770132306815
code[3741],13212,0.33012363144989787,48048,1.2005586015671128
code[3380],8137,0.20331637822493331,46426,1.1600302538368876
code[1122],1549,0.03870432221585618,43731,1.0926912297105271
code[50],7526,0.18804953453617407,43473,1.0862446737830314
code[3906],8556,0.21378578494439343,42038,1.0503888297676967
code[1291],31,0.0007745861773347589,40693,1.0167817843317208
code[547],25802,0.6447055660513371,40662,1.016007198154386
code[5036],563,0.014067484446434492,37555,0.9383736738647378
code[2823],9112,0.2276783628346556,37538,0.9379489007997477
code[3378],7904,0.19749448856948176,37461,0.9360249286818518
code[5042],10468,0.26156026143033084,36992,0.9243061894183033
code[3379],7883,0.19696976890096465,36912,0.922307257347762
code[2674],861,0.021513506409200883,36224,0.9051164415411067
code[3470],10166,0.25401429286403737,36053,0.9008437242403247
code[2675],11243,0.28092491586369983,35363,0.8836029351319058
code[5417],11651,0.2911194694234605,35070,0.8762818464235482
"export ""canister_query canic_metrics""",32,0.0007995728282165254,34037,0.8504706360626835
