Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
table[0],6,0.0003249279878346961,1018812,55.17342219030708
elem[0],1287,0.06969705339054233,1018806,55.17309726231924
code[1555],1966,0.1064680706805021,343872,18.622272838782106
code[1557],10468,0.5668910294422665,341748,18.507248331088622
data[0],138774,7.515259430628688,138774,7.515259430628688
code[1568],8111,0.43924848488787005,132199,7.1591925106265
code[1597],11307,0.6123267930744848,121650,6.587914953348465
code[544],21216,1.1489453649834855,88884,4.813483211783189
code[1924],10958,0.5934268151154334,72599,3.931574498135184
code[2973],17294,0.9365507702688726,62955,3.409306912355549
code[703],939,0.05085123009612994,57310,3.103603830467739
code[2430],11276,0.6106479984706723,56371,3.0527526003716092
code[441],17132,0.9277777145973357,56307,3.049286701834706
code[1959],13212,0.7154914292120009,48048,2.602023326580247
code[1573],8137,0.4406565061684871,46817,2.535358934409495
code[1],9946,0.538622294500648,46372,2.511260108645088
code[2127],1541,0.08345233820887779,43904,2.3776063963157497
code[2129],8556,0.4633473106522767,42219,2.2863557863988393
code[349],17427,0.943753340665875,40290,2.1818914383099846
code[1571],7904,0.42803846930757306,37461,2.0286878920459253
code[1572],7883,0.42690122135015157,36912,1.9989569811590506
code[1664],10166,0.5505363207212535,36210,1.9609404065823912
"export ""canister_query canic_metrics""",32,0.0017329492684517128,34035,1.843154010992314
code[3444],9,0.0004873919817520442,34003,1.8414210617238622
code[710],7795,0.42213561086190937,33994,1.8409336697421101
code[1570],8074,0.4372447622962228,33145,1.7949563594635005
code[424],8711,0.4717412836713396,32354,1.7521200197339597
code[594],863,0.046735475583557125,31459,1.703651594881951
code[642],2004,0.1085259479367885,31130,1.6858347102156817
code[2806],12959,0.7017902990583046,30596,1.6569161192983937
code[505],10402,0.5633168215760849,29674,1.6069855185011288
code[70],10346,0.5602841603562944,29374,1.590739119109394
code[1391],12454,0.6744421934155509,28968,1.5687523252659128
code[2584],7176,0.3886138734502966,28759,1.5574340003563378
code[1631],11765,0.6371296294792,27459,1.4870329363254868
code[1817],16571,0.8973969477347916,27399,1.4837836564471398
"export ""canister_init""",17,0.0009206292988649724,27027,1.4636381212013887
code[3436],9,0.0004873919817520442,27010,1.4627174919025236
code[616],13159,0.7126212319861277,27001,1.4622300999207718
code[1647],11667,0.6318224723445666,26964,1.4602263773291244
