Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
data[0],141706,7.6822033599678194,,
code[3003],24614,1.3343807143116586,,
code[519],19110,1.035996402474031,,
code[365],16567,0.8981346101406212,,
code[1835],16196,0.87802185946988,,
code[3171],15256,0.827062329468541,,
code[457],15235,0.8259238718834047,,
code[1976],12511,0.6782496594114391,,
code[592],12413,0.6729368573474697,,
code[723],12082,0.6549925973150833,,
code[628],11626,0.630271804037838,,
code[1405],11146,0.6042499163775797,,
code[2507],10722,0.5812639156110183,,
code[1650],10398,0.563699141440344,,
code[1616],10358,0.5615306508019892,,
code[1666],10347,0.5609343158764416,,
code[1575],10095,0.547272824854806,,
code[2369],10037,0.5441285134291916,,
code[1942],9968,0.5403878670780293,,
code[82],9752,0.528678017630913,,
code[568],9727,0.5273227109819413,,
code[1683],9715,0.5266721637904349,,
code[2256],9578,0.5192450833540695,,
code[15],9385,0.5087821160240074,,
code[1075],9371,0.5080231443005832,,
code[617],9365,0.50769787070483,,
code[1862],9348,0.5067762621835291,,
code[3034],9157,0.4964217193853847,,
code[1634],9085,0.49251843623634595,,
code[1940],9050,0.49062100692778543,,
code[62],8610,0.4667676099058821,,
code[1583],8348,0.4525639962246578,,
code[441],8239,0.4466548592351408,,
code[2164],7945,0.43071645304323264,,
code[711],7765,0.4209582451706358,,
code[721],7569,0.410332641042697,,
code[1592],7490,0.4060498720319462,,
code[1587],7482,0.40561617390427523,,
code[1589],7457,0.40426086725530347,,
code[1590],7367,0.399381763319005,,
