Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
table[0],6,0.0003530080403464656,901958,53.066404342469575
elem[0],1285,0.07560255530753472,901952,53.06605133442923
code[1536],1686,0.09919525933735683,141921,8.349875682335124
code[1538],9772,0.5749324283776104,140106,8.24309075013032
data[0],140050,8.23979600842042,140050,8.23979600842042
code[2911],19334,1.1375095753430944,106126,6.243888548301502
code[585],1691,0.09948943270431222,67375,3.9639861197238537
code[1945],9566,0.5628124856590483,65558,3.8570835181722654
code[515],16986,0.9993657622208443,58888,3.464656246653778
code[682],862,0.0507154884631089,54378,3.199311869660018
code[2260],10722,0.630825368099134,53516,3.1485963811969087
code[2824],3336,0.19627247043263488,52955,3.1155901294245147
code[1549],7474,0.439730348924914,47929,2.8198870609609585
code[449],15477,0.910584240073708,47856,2.81559212980341
code[1950],9396,0.5528105911825651,44107,2.5950209392602597
code[1878],1388,0.08166252666681571,41125,2.4195759432080663
code[580],9879,0.5812277384304556,40417,2.3779209944471837
code[1880],7945,0.4674414800921116,39612,2.3305590823673663
code[353],16567,0.9747140340699827,38868,2.2867860853644046
code[1602],11359,0.6683030550492506,38159,2.24507230193013
code[1547],7367,0.43343503887206875,34412,2.024618780733763
code[1548],7341,0.4319053373639007,34042,2.002849951579064
"export ""canister_query canic_metrics""",32,0.0018827095485144834,33168,1.951428447035262
code[3369],9,0.0005295120605196985,33136,1.9495457374867475
code[690],8285,0.48744526904507796,33127,1.9490162254262275
code[2722],8809,0.5182746379020027,31567,1.8572341349361465
code[433],8284,0.4873864343716869,30995,1.8235807017564505
code[621],1770,0.10413737190220736,28080,1.6520776288214591
code[87],9752,0.5737557349097888,27528,1.6196008891095843
code[2405],6618,0.3893678685021516,27458,1.6154824619722088
code[1628],16196,0.9528863702418929,26987,1.5877713308050112
code[1372],11146,0.655771269616951,26179,1.5402329147050207
code[2044],1490,0.08766366335270563,25555,1.5035200785089882
code[1569],10578,0.6223531751308189,25009,1.4713963468374598
code[81],5875,0.34565370617258095,24866,1.4629829885425356
code[1585],10599,0.6235887032720315,24706,1.4535694407999633
code[498],752,0.04424367439009036,24115,1.4187981488258365
"export ""canister_init""",17,0.0010001894476483193,23911,1.4067958754540566
code[3361],9,0.0005295120605196985,23894,1.4057956860064083
code[596],11425,0.6721861434930617,23885,1.4052661739458885
