Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
data[0],145946,8.082328483249546,,
code[702],32869,1.820248961368789,,
code[3036],20598,1.140694517821483,,
code[534],17717,0.9811479159259738,,
code[362],16567,0.9174621845202692,,
code[1656],16196,0.8969166137798202,,
code[491],15405,0.8531119063520702,,
code[598],11475,0.6354728416351838,,
code[1630],11359,0.6290488895977389,,
code[1613],11342,0.6281074483508718,,
code[1382],11146,0.6172531845634648,,
code[1547],10873,0.6021347457167192,,
code[2336],10722,0.5937725322886658,,
code[1596],10599,0.5869609279730992,,
code[1580],10578,0.5857979711387341,,
code[1798],10434,0.5778234099888024,,
code[2232],10102,0.5594376162264598,,
code[452],10072,0.5577762493202241,,
code[2059],9962,0.5516845706640262,,
code[88],9752,0.5400550023203758,,
code[2121],9578,0.5304190742642083,,
code[2020],9566,0.529754527501714,,
code[572],9541,0.5283700550798508,,
code[2833],9528,0.527650129420482,,
code[2025],9396,0.5203401150330446,,
code[20],9385,0.5197309471674249,,
code[1054],9371,0.5189556426111814,,
code[1712],9348,0.5176819279830673,,
code[2859],9157,0.5071045586800329,,
code[700],9071,0.5023419735488237,,
code[67],8610,0.47681230208966735,,
code[436],8284,0.4587587817085719,,
code[2949],8051,0.44585549873680735,,
code[1954],7945,0.43998533566810766,,
code[2738],7940,0.439708441183735,,
code[689],7717,0.4273589471807157,,
code[1560],7474,0.41390187524020594,,
code[1557],7367,0.4079763332746317,,
code[1558],7341,0.406536481955894,,
code[1559],7341,0.406536481955894,,
