Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
data[0],145946,8.08234191098492,,
code[701],32869,1.8202519854751988,,
code[3034],20598,1.1406964129367532,,
code[451],17717,0.9811495459753596,,
code[360],16567,0.9174637087641127,,
code[1652],16196,0.8969181038898756,,
code[557],15405,0.8531133236863134,,
code[597],11475,0.6354738973904867,,
code[1626],11359,0.6290499346804825,,
code[1609],11342,0.6281084918695338,,
code[1378],11146,0.6172542100491821,,
code[1543],10873,0.6021357460851209,,
code[2332],10722,0.5937735187643397,,
code[1592],10599,0.5869619031321802,,
code[1576],10578,0.585798944365714,,
code[1794],10434,0.5778243699670883,,
code[2228],10102,0.5594385456591456,,
code[527],10072,0.5577771759927652,,
code[2055],9962,0.5516854872160373,,
code[88],9752,0.5400558995513749,,
code[2117],9578,0.5304199554863687,,
code[2016],9566,0.5297554076198167,,
code[498],9541,0.528370932897833,,
code[2831],9528,0.5276510060424014,,
code[2021],9396,0.5203409795103279,,
code[20],9385,0.5197318106326552,,
code[1052],9371,0.5189565047883443,,
code[1708],9348,0.5176827880441193,,
code[2857],9157,0.5071054011681644,,
code[699],9071,0.5023428081245407,,
code[67],8610,0.4768130942511626,,
code[435],8284,0.458759543876496,,
code[2947],8051,0.44585623946760855,,
code[1950],7945,0.43998606664639794,,
code[2736],7940,0.43970917170200124,,
code[688],7717,0.4273596571819072,,
code[1556],7474,0.41390256288422633,,
code[1553],7367,0.4079770110741364,,
code[1554],7341,0.4065371573632734,,
code[1555],7341,0.4065371573632734,,
