Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
data[0],146970,7.9986111141346345,,
code[778],32869,1.7888436327855435,,
code[3100],20598,1.121013756065491,,
code[614],17717,0.9642198619386496,,
code[390],16567,0.901632920513496,,
code[1731],16196,0.8814418289754681,,
code[574],15401,0.8381752042511228,,
code[506],13758,0.7487575131541424,,
code[676],11677,0.6355023608882775,,
code[1705],11359,0.6181957109985392,,
code[1688],11342,0.6172705127339935,,
code[1458],11146,0.6066035209780543,,
code[1622],10873,0.5917459253179961,,
code[2405],10722,0.5835279877917368,,
code[1671],10599,0.5768339062306117,,
code[1655],10578,0.5756910142567611,,
code[1873],10434,0.5678540407217852,,
code[2304],10102,0.54978546284948,,
code[546],10072,0.5481527600296935,,
code[2134],9962,0.5421661830238091,,
code[88],9752,0.5307372632853028,,
code[2196],9578,0.5212675869305404,,
code[2095],9566,0.5206145058026258,,
code[650],9541,0.5192539201194702,,
code[2100],9396,0.5113625231571683,,
code[20],9385,0.5107638654565799,,
code[1130],9371,0.5100019374740128,,
code[1787],9348,0.5087501986455097,,
code[2919],9157,0.4983553240262016,,
code[776],9073,0.4937837561307991,,
code[67],8610,0.468585709278759,,
code[468],8284,0.4508436719704111,,
code[3012],8051,0.43816301340340164,,
code[2029],7945,0.43239413010682226,,
code[765],7719,0.42009443553109643,,
code[1635],7474,0.40676069583617236,,
code[1632],7367,0.4009373891122668,,
code[1633],7341,0.3995223800017851,,
code[1634],7341,0.3995223800017851,,
code[1842],6990,0.38041975701028163,,
