Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
table[0],6,0.000295297098410711,1139688,56.09109324891774
elem[0],1367,0.06727852225457366,1139682,56.090797951819326
code[1735],1785,0.08785088677718653,194863,9.59041308126773
code[1737],10873,0.5351275585032768,192952,9.496360955423919
data[0],148570,7.3120483184798895,148570,7.3120483184798895
code[3469],20598,1.0137549388439708,108462,5.3380856479704235
code[617],1691,0.08322456556875206,67375,3.315940334236942
code[2208],9566,0.4708020072328103,65558,3.226514529601565
code[688],17717,0.8719631154237613,62769,3.0892505950236533
code[846],862,0.042424349805005486,54378,2.676277602896274
code[2580],10722,0.5276959148599406,53516,2.633853253091268
code[3379],3336,0.16418518671635532,52955,2.606242974389867
code[1749],7341,0.3612959999055049,50769,2.4986563982022316
code[1750],7474,0.367841752253609,47929,2.3588824382878277
code[648],15401,0.7579784354372268,47798,2.352435118305861
"export ""canister_query canic_metrics""",32,0.001574917858190459,46354,2.281366949955016
code[3961],9,0.0004429456476160665,46322,2.2797920320968257
code[856],31931,1.5715219415587356,46313,2.27934908644921
code[2213],9396,0.4624352561111734,44107,2.170778186600205
code[2985],576,0.028348521447428256,44078,2.16935091729122
code[2986],10018,0.4930477219797505,43502,2.141002395843792
code[1803],11342,0.5582099483623807,41421,2.0385835188783434
code[2141],1388,0.06831206209901115,40944,2.015107399554692
code[609],10029,0.4935890999935035,40567,1.9965528985378855
code[2143],7945,0.3910225744788498,39431,1.9406433145721245
code[503],16567,0.8153645048950416,38703,1.9048139332982914
code[1820],11359,0.5590466234745444,38159,1.8780403297090538
code[3166],12306,0.6056543488403683,37366,1.8390118965357714
code[1747],7367,0.36257562066528465,34412,1.6936272917515645
code[1748],7341,0.3612959999055049,34042,1.6754173040162375
code[647],34,0.0016733502243273623,33261,1.6369794650397766
code[252],13225,0.6508840210802755,33227,1.635306114815449
code[575],8278,0.4074115634406443,30989,1.525160297108254
code[775],1770,0.08711264403115974,28080,1.3819904205621276
code[97],9752,0.4799562172835423,27528,1.3548230875083422
code[2784],6499,0.3198559737618685,27405,1.3487694969909225
code[1846],16196,0.7971053009766459,26987,1.3281971324683097
code[1573],11146,0.5485635764809642,26179,1.2884304565490006
code[2307],1490,0.07333211277199324,25555,1.2577195583142866
code[1770],10578,0.5206087844980836,25009,1.2308475223589121
