Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
table[0],6,0.0002779769946239249,1273300,58.991351209107265
elem[0],1424,0.06597320672407818,1273294,58.99107323211265
code[1972],1793,0.08306879189344957,193425,8.96128336418878
code[1974],10873,0.5037406437576559,191506,8.872377055408228
data[0],149154,6.910230109356149,149154,6.910230109356149
code[1508],1798,0.0833004393889695,107418,4.9766221347521284
code[1517],9920,0.4595886311115559,102548,4.750997474115709
code[3331],20942,0.9702323702357061,81825,3.7909112641837757
code[530],1699,0.07871381897767474,67383,3.121820638123989
code[2426],9566,0.44318798842874435,65558,3.0372693022592117
code[556],17717,0.8208197356253463,62769,2.9080563292581907
code[1553],7321,0.33917826294029235,55095,2.552523753134191
code[781],862,0.03993602822763721,54378,2.5193055022766315
code[2785],10722,0.4967448893929538,53516,2.4793694740489944
code[1986],7341,0.34010485292237214,50769,2.3521023400103407
code[617],15385,0.7127793437148475,47782,2.21371612618673
code[1987],7474,0.34626667630320246,47103,2.1822583962951225
code[1607],10212,0.4731168448499202,45484,2.107250937245767
code[2431],9396,0.4353119735810664,44107,2.0434552169795763
code[3150],576,0.026685791483896795,44078,2.0421116615055603
code[3151],10018,0.4641289220237466,43502,2.0154258700216636
code[3631],12597,0.5836127002129303,42385,1.9636758195225097
code[2039],11342,0.525469178837426,41421,1.9190141823862656
code[2359],1396,0.06467598074916653,40952,1.8972856473064954
code[520],10014,0.46394360402733065,40547,1.8785222001693807
code[2361],7945,0.3680878703811806,39431,1.8268184791693305
"export ""canister_query canic_metrics""",32,0.0014825439713275995,39026,1.808055032032216
code[4105],9,0.0004169654919358874,38994,1.806572488060888
code[791],24971,1.1568939221256715,38985,1.8061555225689523
code[464],16567,0.7675408116557607,38703,1.7930906038216277
code[2056],11359,0.5262567803221939,37563,1.740274974843082
code[555],34,0.0015752029695355746,35974,1.666657400766846
code[194],24616,1.140446949943756,35940,1.66508219779731
code[1984],7367,0.3413094198990758,34412,1.5942907231664174
code[1985],7341,0.34010485292237214,34042,1.577148808497942
code[196],8284,0.38379357057743235,30995,1.4359828247280921
code[707],1778,0.08237384940688976,28088,1.3013029708328006
code[99],9752,0.45180527526208597,27528,1.2753584513345675
code[2962],6499,0.30109541467681467,27405,1.2696599229447771
code[2078],16196,0.7503525674881814,26987,1.2502941923193103
