Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
table[0],6,0.00026809675433132646,1041001,46.51483155927753
elem[0],1348,0.06023240413977135,1040995,46.5145634625232
code[2634],1193,0.053306571319545415,199404,8.909927533447304
code[3662],9313,0.4161308455146073,198211,8.85662096212776
code[1583],1603,0.07162651619885271,193944,8.665959487005798
code[1585],10899,0.4869977542428546,192215,8.588702938965987
code[3666],9277,0.4145222649886193,176735,7.897013312791164
data[0],154706,6.912696079263698,154706,6.912696079263698
code[3688],7510,0.3355677708380436,122599,5.478065664044383
code[3709],10889,0.486550926318969,112900,5.044687260667794
code[3191],8306,0.37113527357933296,99915,4.464481201502414
code[3186],19284,0.8616629684208833,90776,4.056125161863416
code[716],403,0.01800716533258743,85364,3.814301889456559
code[3461],9113,0.40719428703689636,84961,3.796294724123971
code[464],1527,0.06823062397732259,67146,3.000270777721875
code[1997],9510,0.4249333556151525,65493,2.9264101219035945
code[3465],9113,0.40719428703689636,64599,2.8864637055082265
code[491],18125,0.8098756120425488,63143,2.8214055597904917
code[429],816,0.036461158589060405,53507,2.390842172334381
code[2380],10712,0.4786420720661949,52691,2.3543810137453205
code[1597],7345,0.32819511009393215,50761,2.2681432244354105
code[557],15343,0.6855680836175904,47821,2.1367758148130607
code[1598],7318,0.3269886746994412,47145,2.106570247158398
code[3803],7029,0.31407534769914897,46526,2.0789115986698827
code[3486],9349,0.4177394260405952,44204,1.9751581547436594
code[2002],9328,0.4168010874004356,44077,1.9694834401103127
code[2844],554,0.024754266983259148,43619,1.949018721196355
code[2845],9907,0.4426724241934086,43065,1.9242644542130958
code[1651],11292,0.5045580916515564,41395,1.84964419092421
"export ""canister_query canic_memory_ledger""",38,0.0016979461107650676,40772,1.8218068112661405
code[4232],9,0.00040214513149698975,40734,1.8201088651553756
code[711],9914,0.4429852037401285,40725,1.8197067200238786
code[1927],1275,0.05697056029540687,40717,1.81934925768477
code[454],10005,0.4470513378474869,40539,1.8113957206396074
code[3128],3340,0.14924052657777173,40018,1.7881159858051707
"export ""canister_query canic_metrics""",32,0.0014298493564337412,39613,1.770019454887806
code[4234],9,0.00040214513149698975,39581,1.7685896055313721
code[740],25531,1.1407963724721828,39572,1.7681874603998753
code[1929],7877,0.3519663556446431,39317,1.756793348340794
code[341],16586,0.7411087945565634,38788,1.7331561511672484
