Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
data[0],846358,19.074016897929564,,
code[1549],35315,0.7958794112543186,,
code[675],29694,0.6692012809793497,,
code[3004],23627,0.5324718349060111,,
code[3131],22281,0.5021375948508416,,
code[616],21040,0.47416969595896535,,
code[292],20681,0.466079062838753,,
code[3013],20333,0.4582363321261237,,
code[129],17013,0.3834148782010398,,
code[1034],16586,0.3737917574703137,,
code[3587],16196,0.3650024902923671,,
code[1323],15573,0.3509621993901601,,
code[430],15519,0.3497452239347521,,
code[6585],14957,0.337079664565506,,
code[2981],14319,0.32270132492568565,,
code[5543],14010,0.315737520930851,,
code[1138],12587,0.2836679640225997,,
code[1265],12180,0.27449557494202464,,
code[1215],12141,0.27361664822423,,
code[2766],11881,0.2677571367722656,,
code[1167],11841,0.2668556734719634,,
code[3567],11382,0.25651138210099544,,
code[3550],11292,0.25448308967531547,,
code[3396],11094,0.2500208463388195,,
code[3488],10899,0.24562621274984617,,
code[6188],10889,0.24540084692477063,,
code[4284],10787,0.24310211550899996,,
code[2330],10746,0.24217811562619024,,
code[4438],10712,0.24141187182093335,,
code[612],10632,0.23960894522032888,,
code[5696],10592,0.2387074819200267,,
code[3533],10585,0.2385497258424738,,
code[2637],10547,0.23769333570718668,,
code[3517],10532,0.23735528696957336,,
code[3650],10434,0.2351467018838329,,
code[152],10332,0.2328479704680623,,
code[2384],10268,0.23140562918757876,,
code[4279],10146,0.22865616612165696,,
code[4134],10038,0.226222215210841,,
code[5251],10000,0.22536582507555392,,
