Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
table[0],6,0.000266131210670797,1055649,46.82352440223603
elem[0],1352,0.05996823280448626,1055643,46.82325827102537
code[2681],1193,0.05291575572171014,199404,8.844604655433267
code[3704],9313,0.41307999416285546,198211,8.79168889971156
code[1632],1603,0.07110138845088126,193944,8.602425253722842
code[1634],10899,0.4834273441835028,192215,8.525735109847874
code[3708],9277,0.41148320689883067,176735,7.8391165863172185
data[0],154834,6.867693312167031,154834,6.867693312167031
code[3730],7510,0.33310756535628094,122599,5.437903382838174
code[3751],10889,0.48298379216571813,112900,5.0077022807888305
code[3234],8245,0.3657086386634536,99854,4.429044318386961
code[3229],19284,0.8553457110959416,90776,4.026387796642045
code[767],403,0.017875146316721865,85364,3.7863374446169864
code[3503],9113,0.40420895380716226,84961,3.7684622983002645
code[632],1527,0.06773039311571785,67146,2.9782743786168893
code[2046],9510,0.4218179689132133,65493,2.9049552300770847
code[3507],9113,0.40420895380716226,64599,2.865301679687136
code[539],18133,0.8042928738489271,63151,2.8010753475119174
code[649],816,0.0361938446512284,53507,2.3733137815603893
code[2428],10712,0.4751329214509296,52691,2.337119936909161
code[1646],7345,0.325788957062834,50761,2.251514397476721
code[453],15343,0.6805418608870064,47821,2.1211101042480305
code[1647],7318,0.32459136661481547,47145,2.0911259878457877
code[3845],7029,0.3117727133008387,46526,2.063670117944917
code[3528],9349,0.41467678142688025,44204,1.9606773394153187
code[2051],9328,0.4137453221895324,44077,1.9550442287894532
code[2889],554,0.02457278178527026,43619,1.9347295463749157
code[2890],9907,0.4394269840192644,43065,1.9101567645896458
code[1700],11292,0.50085893848244,41395,1.8360835776196072
"export ""canister_query canic_memory_ledger""",38,0.0016854976675817145,40772,1.8084502869116226
code[4274],9,0.0003991968160061955,40734,1.8067647892440408
code[762],9914,0.4397374704317136,40725,1.8063655924280348
code[1976],1275,0.05655288226754437,40717,1.8060107508138072
code[625],10005,0.4437737937935541,40539,1.79811552489724
code[3170],3340,0.14814637394007701,40018,1.7750064647706592
"export ""canister_query canic_metrics""",32,0.0014193664569109176,39615,1.7571313184539374
code[4276],9,0.0003991968160061955,39583,1.7557119519970263
code[791],25533,1.1325213670095768,39574,1.7553127551810204
code[1978],7877,0.34938592440897803,39317,1.7439134683239543
code[373],16586,0.7356753766976398,38788,1.720449566583146
