canister	endpoint_or_flow	scenario_key	sample_origin	count	total_local_instructions	avg_local_instructions
leaf_probe	audit_time_probe	app:canic_time:minimal-valid	query	1	28731	28731
leaf_probe	audit_env_probe	app:canic_env:minimal-valid	query	1	30261	30261
leaf_probe	audit_log_probe	app:canic_log:empty-page	query	1	295830	295830
root_probe	audit_subnet_registry_probe	root:canic_subnet_registry:full-registry	query	1	73900	73900
root_probe	audit_subnet_state_probe	root:canic_subnet_state:empty-struct	query	1	30323	30323
scaling_probe	audit_plan_create_worker_probe	scale_hub:plan_create_worker:empty-pool	query	1	61783	61783
root	canic_request_delegation	root:canic_request_delegation:fresh-shard	update	0	0	0
test	test	test:test:minimal-valid	update	0	0	0
root	canic_response_capability_v1	root:canic_response_capability_v1:request-cycles-fresh	update	0	0	0
root	canic_template_stage_manifest_admin	root:canic_template_stage_manifest_admin:single-chunk	update	0	0	0
root	canic_template_prepare_admin	root:canic_template_prepare_admin:single-chunk	update	0	0	0
root	canic_template_publish_chunk_admin	root:canic_template_publish_chunk_admin:single-chunk	update	0	0	0
