Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
data[0],169546,5.851163323608198,,
code[802],34249,1.1819594249953238,,
code[3378],21255,0.7335264556125903,,
code[490],19952,0.6885589198956671,,
code[3452],19824,0.6841415410992233,,
code[4038],17823,0.6150854866329427,,
code[3801],16677,0.5755361420960324,,
code[371],16586,0.5723956618579358,,
code[1785],16196,0.5589364608375212,,
code[574],15145,0.5226656396260965,,
code[2390],14977,0.5168678299557641,,
code[3411],14973,0.5167297868683752,,
code[4231],14884,0.513658328173973,,
code[648],14174,0.4891556801624491,,
code[3560],13058,0.4506416587809553,,
code[3854],12055,0.41602735461819695,,
code[3407],11676,0.4029477720881019,,
code[3147],11630,0.4013602765831299,,
code[699],11612,0.40073908268988,,
code[1759],11382,0.39280160516502016,,
code[1576],11162,0.3852092353586325,,
code[4569],10889,0.3757877946443423,,
code[2808],10712,0.369679388027385,,
code[1726],10621,0.36653890778928827,,
code[1742],10585,0.36529652000278845,,
code[447],10053,0.3469367893800692,,
code[2286],10040,0.34648814934605543,,
code[3620],10000,0.3451077184721667,,
code[2072],9972,0.34414141686044464,,
code[3293],9907,0.34189821669037557,,
code[83],9898,0.3415876197437506,,
code[1695],9790,0.3378604563842512,,
code[2439],9583,0.33071672661187734,,
code[4585],9512,0.32826646181072494,,
code[2033],9510,0.32819744026703057,,
code[2145],9498,0.32778331100486396,,
code[3569],9452,0.32619581549989196,,
code[2394],9434,0.3255746216066421,,
code[4380],9419,0.3250569600289338,,
code[15],9387,0.3239526153298229,,
