Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
table[0],6,0.00020876833986372298,1563742,54.40997021919631
elem[0],1428,0.049686864887566067,1563736,54.40976145085645
code[681],435,0.015135704640119917,328985,11.446942048344484
code[3114],11630,0.4046626321025164,328532,11.431180038684774
code[2349],574,0.019972171180296167,261292,9.091582843278651
code[2356],14977,0.5211205710231632,260718,9.071610672098355
code[3149],1193,0.04151010490957025,199127,6.928568868673928
code[4491],9313,0.3240432581918087,197934,6.887058763764357
code[4495],9277,0.32279064815262637,176458,6.139807285945472
code[3342],4140,0.14405015450596886,175843,6.11840853110944
data[0],167250,5.819417473701279,167250,5.819417473701279
code[3345],21255,0.7395618439672387,158415,5.512006093251946
code[1656],1420,0.049408507101081106,140126,4.875645398624008
code[1658],9790,0.34064034121097464,138577,4.821748372215857
code[4518],7510,0.2613083720627599,122322,4.25616014480172
code[4539],10889,0.3788797421293466,112623,3.9186861234120123
code[2363],3609,0.12557415642802938,110868,3.8576213840018734
code[4014],8322,0.2895616873909838,97835,3.4041417550945563
code[4011],17823,0.6201463535651892,88660,3.0849001687196136
code[3417],621,0.02160752317589533,87590,3.0476698147772496
code[3419],19824,0.6897705949097407,86969,3.026062291601354
code[3144],403,0.01402227349418006,85364,2.970216760687808
code[4290],9113,0.3170843135296846,84961,2.956194487193628
code[3374],11676,0.40626318937480493,81396,2.832151298591266
code[2361],3193,0.11109955153081125,80326,2.794920944648902
code[646],1527,0.05313154249531749,67162,2.3368832069878938
code[1996],9510,0.3308978186840009,65509,2.2793675293554383
code[4294],9113,0.3170843135296846,64599,2.247704331142774
code[474],816,0.028392494221466325,53278,1.8537932685432388
code[2774],10712,0.3727210761033668,52462,1.8254007743217726
"export ""canister_query canic_metrics""",32,0.001113431145939856,50939,1.7724084107196973
code[5143],9,0.00031315250979558446,50907,1.7712949795737576
code[766],28574,0.9942244238776701,50898,1.7709818270639621
code[499],15145,0.5269660845393475,47623,1.65702910822168
code[1669],7318,0.2546277851871208,47161,1.6409539460521732
code[559],19965,0.6946766508965382,46536,1.6192072439830354
code[4632],7029,0.2445721101503515,46249,1.6092211583928873
code[4314],9349,0.325295868230991,44204,1.5380659492226685
code[2001],9328,0.324565179041468,44093,1.5342037349351896
code[3259],554,0.019276276714083756,43619,1.5177110360859554
