Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
data[0],172474,5.83210868766903,,
code[199],34686,1.1728870550951909,,
code[856],27856,0.9419345501565946,,
code[3401],20015,0.6767956641795031,,
code[653],19914,0.673380407517893,,
code[3473],19824,0.6703371095025966,,
code[4099],18872,0.6381457793852402,,
code[3822],16677,0.5639231222344029,,
code[532],16586,0.5608460097967145,,
code[1834],16196,0.5476583850637639,,
code[584],15145,0.5121194271295816,,
code[2437],14977,0.5064386041676951,,
code[3433],14973,0.5063033464781265,,
code[4289],14894,0.5036320071091441,,
code[3582],13041,0.4409738824164327,,
code[3880],12055,0.40763286193774223,,
code[3429],11676,0.39481719585110564,,
code[3174],11630,0.3932617324210653,,
code[1808],11382,0.3848757556678044,,
code[752],11289,0.3817310143853316,,
code[1627],11162,0.3774365827415246,,
code[4634],10889,0.36820524542845917,,
code[2855],10712,0.3622200926650431,,
code[1775],10621,0.35914298022735464,,
code[1791],10585,0.35792566102123613,,
code[716],10053,0.33993638830859585,,
code[2326],10040,0.3394968008174975,,
code[3641],10000,0.33814422392181026,,
code[2121],9972,0.33719742009482917,,
code[3317],9907,0.33499948263933743,,
code[98],9898,0.33469515283780776,,
code[1744],9790,0.33104319521945225,,
code[2486],9583,0.32404360978427077,,
code[4650],9512,0.3216427857944259,,
code[2082],9510,0.32157515694964156,,
code[2198],9498,0.32116938388093536,,
code[3591],9452,0.31961392045089504,,
code[2441],9434,0.31900526084783576,,
code[4445],9419,0.31849804451195307,,
code[1244],9371,0.31687495223712836,,
