Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
data[0],169938,5.82144326492469,,
code[802],28574,0.9788388697757892,,
code[3411],21255,0.7281171756521454,,
code[570],19965,0.6839265778355719,,
code[3485],19824,0.6790964427253884,,
code[4079],17823,0.6105496316936337,,
code[3835],16677,0.5712919378193755,,
code[369],16586,0.5681746165780514,,
code[1777],16196,0.5548146684009478,,
code[449],15145,0.5188113208775225,,
code[2385],14977,0.5130562662781548,,
code[3444],14973,0.5129192411686461,,
code[4281],14884,0.5098704324820762,,
code[3594],13058,0.44731846999132974,,
code[650],12070,0.4134732679426673,,
code[3888],12055,0.41295942378200945,,
code[3440],11676,0.399976294656055,,
code[671],11612,0.39778389290391497,,
code[1751],11382,0.3899049491071615,,
code[1569],11162,0.38236856808417996,,
code[4620],10889,0.3730166043602075,,
code[2805],10712,0.3669532432644451,,
code[1718],10621,0.36383592202312093,,
code[1734],10585,0.36260269603754214,,
code[531],10053,0.3443783564728778,,
code[2323],10040,0.3439330248669743,,
code[3653],10000,0.34256277377188676,,
code[2064],9972,0.34160359800532547,,
code[773],9914,0.3396167339174485,,
code[3326],9907,0.3393769399758082,,
code[83],9898,0.3390686334794135,,
code[1687],9790,0.33536895552267715,,
code[690],9666,0.3311211771279058,,
code[2434],9583,0.3282779061055991,,
code[4636],9512,0.3258457104118187,,
code[2025],9510,0.32577719785706427,,
code[3946],9501,0.32546889136066964,,
code[2137],9498,0.325366122528538,,
code[3603],9452,0.32379033376918737,,
code[2389],9434,0.323173720776398,,
