Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
table[0],6,0.00011545222154126792,3049612,58.680746706484854
elem[0],1955,0.0376181821855298,3049606,58.68063125426332
data[0],977670,18.8123622390419,977670,18.8123622390419
code[1235],1678,0.03228813795770793,389908,7.502624132785448
code[3415],11494,0.22116797239922223,388099,7.4678152879907564
code[1435],435,0.008370286061741923,328495,6.320912919199801
code[5375],11630,0.22378488942082433,328042,6.3121962764734345
code[4399],574,0.01104492919411463,222207,4.275715298670087
code[4404],14665,0.28218447148378234,221633,4.264670369475972
code[5409],1193,0.02295575004978877,199012,3.8293962522284684
code[6951],9313,0.17920108986897135,197819,3.80644050217868
code[6955],9277,0.17850837653972373,176343,3.393198517208635
code[3430],182,0.0035020507200851266,153137,2.9466678083608575
code[3482],11753,0.22615165996242031,152955,2.9431657576407724
code[5689],4224,0.08127836396505261,151878,2.9224420838741145
code[5693],20392,0.3923836169449225,133813,2.5748346868502807
code[3720],9994,0.19230491701390526,125923,2.423015015523513
code[6978],7510,0.14450769729582033,122207,2.351511606315621
code[6999],10889,0.2095265400604777,112508,2.164883090194162
code[499],1705,0.03280767295464364,103976,2.000710031162479
code[2294],9920,0.19088100628156296,102140,1.9653816513708506
code[4777],847,0.01629800527424232,95584,1.839230857300092
code[4778],10146,0.19522970662628406,94737,1.8229328520258499
code[5756],621,0.01194930492952123,87689,1.687314975788707
code[5758],19824,0.3814541399723492,87068,1.6753656708591858
code[5404],403,0.007754540880188495,85364,1.6425772399414655
code[6751],9113,0.17535268248426242,84961,1.6348226990612773
code[4409],3193,0.061439823896878076,79244,1.5248159739693723
code[4411],3277,0.06305615499845584,74551,1.4345130946871776
code[1009],30812,0.5928856416882579,72668,1.3982803391601428
code[3743],13228,0.25453366442464864,71097,1.3680510991532542
code[1221],10004,0.1924973373831407,69590,1.3390533495094723
code[6755],9113,0.17535268248426242,64599,1.243016343224061
code[5719],11898,0.22894175531633426,62313,1.1990290468168379
"export ""canister_query canic_metrics""",32,0.0006157451815534289,61603,1.185367200601121
code[7582],9,0.0001731783323119019,61571,1.184751455419568
code[1523],38386,0.7386248293471851,61562,1.184578277087256
code[3431],7302,0.14050535361572306,56114,1.0797476599277847
code[2319],7321,0.14087095231727043,54957,1.0574846232072435
code[4783],10787,0.20756385229427618,54032,1.0396857390529648
