Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
table[0],6,0.00018569625107123526,1879168,58.159075455505175
elem[0],1440,0.04456710025709646,1879162,58.158889759254095
code[1649],1678,0.051933051549588785,390155,12.075053472782965
code[1651],11494,0.35573211830212964,388346,12.019066053084988
code[685],435,0.013462978202664556,328686,10.172626329933337
code[3377],11630,0.359941233326411,328233,10.15860626297746
code[4295],8323,0.25759164961098185,283794,8.783246979418356
code[4291],17562,0.5435329268855056,274618,8.499255512780081
code[2653],574,0.017764941352481505,223077,6.904093766702991
code[2658],14665,0.4538725869932775,222503,6.88632882535051
code[3411],1193,0.036922604587997274,199012,6.159297053031445
code[4922],9313,0.28823153103773563,197819,6.1223744484434475
code[4292],5640,0.17455447600696114,186719,5.7788363839616625
code[3602],4218,0.13054446450307838,179715,5.562066960211174
code[4926],9277,0.28711735353130824,176343,5.457705667109139
data[0],174650,5.405308374931873,174650,5.405308374931873
code[3606],21946,0.6792149876682214,161562,5.000242952595151
code[1671],182,0.0056327862824941365,153137,4.739494466715959
code[1724],11753,0.3637480064733713,152955,4.733861680433464
code[1978],9994,0.30930805553432084,125923,3.897238170607192
code[4949],7510,0.23242980759082946,122207,3.782230292443741
code[4970],10889,0.33700774631911345,112508,3.4820523025870895
code[3675],621,0.019219561985872848,87560,2.709927290632893
code[3677],19824,0.6135404135393613,86939,2.6907077286470202
code[3406],403,0.0124725981969513,85364,2.6419624627408207
code[4724],9113,0.2820416560020278,84961,2.62948986454387
code[2663],3193,0.0988213549450757,80114,2.47947824305349
code[2666],3277,0.10142110246007298,74551,2.3073068689352763
code[2001],13228,0.4093983348617166,71097,2.200407727068602
code[4728],9113,0.2820416560020278,64599,1.9992986871584542
code[3635],11896,0.36817376712390243,62622,1.9381117724304824
"export ""canister_query canic_metrics""",32,0.0009903800057132546,56938,1.7621955239156655
code[5726],9,0.00027854437660685284,56906,1.761205143909952
code[773],34279,1.0609136317451455,56897,1.7609265995333454
code[1672],7302,0.22599233755369327,56361,1.7443377344376483
code[639],816,0.025254690145687993,53278,1.6489208107622118
code[3035],10712,0.331529706912512,52462,1.6236661206165242
code[5496],9081,0.2810512759963146,48925,1.5141981806100306
code[4246],3710,0.11482218191238046,48772,1.5094629262077144
code[422],15145,0.46872828707897635,47623,1.4739020941275727
