Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
data[0],183066,4.860678911515497,,
code[740],28604,0.7594794204548593,,
code[4024],25851,0.6863831106900632,,
code[4355],21945,0.5826729087498911,,
code[4452],19824,0.526357153932916,,
code[499],19648,0.5216840879980797,,
code[1741],18535,0.4921322562624394,,
code[1784],18357,0.4874060873056164,,
code[4787],16677,0.4427995488367252,,
code[331],16567,0.4398788826274526,,
code[1783],16196,0.4300282720489057,,
code[587],15145,0.40212263399485537,,
code[4208],14887,0.3952723441585614,,
code[2745],14764,0.39200650830637473,,
code[3245],14665,0.38937790871802935,,
code[1758],14334,0.38058935857921805,,
code[1878],14104,0.3744825110507389,,
code[1876],13349,0.35443612025073123,,
code[4561],13239,0.35151545404145856,,
code[1724],12998,0.34511653989205215,,
code[1690],12807,0.34004520129231514,,
code[1855],12641,0.3356376504674128,,
code[1591],12637,0.33553144442343924,,
code[634],12221,0.32448601585019,,
code[5027],11964,0.3176622775248894,,
code[4383],11896,0.31585677477733903,,
code[1685],11753,0.3120599087052846,,
code[2610],11645,0.30919234551799873,,
code[4136],11531,0.3061654732647526,,
code[1707],11462,0.3043334190062088,,
code[1495],11162,0.2963679657081925,,
code[5646],10847,0.2880042397452754,,
code[397],10714,0.28447288878315485,,
code[3635],10712,0.2844197857611681,,
code[1656],10621,0.2820035982607698,,
code[1672],10585,0.28104774386500786,,
code[5236],10520,0.2793218956504377,,
code[1850],10333,0.2743567630946742,,
code[2573],10180,0.2702943819126859,,
code[3135],10040,0.2665771703736116,,
