Name,ShallowSize,ShallowSizePercent,RetainedSize,RetainedSizePercent
data[0],189242,4.783479325143233,,
code[848],34786,0.8792874298751465,,
code[4143],25851,0.6534369961968152,,
code[4446],21931,0.5543509637380509,,
code[4547],19824,0.5010922212914651,,
code[528],19635,0.49631485901220324,,
code[1851],18535,0.46851010500591733,,
code[1894],18357,0.4640107902667183,,
code[4888],16677,0.4215453477843908,,
code[449],16567,0.4187648723837622,,
code[1893],16196,0.4093870871689149,,
code[689],15145,0.38282090856836354,,
code[4477],14973,0.37847325612374433,,
code[5619],14884,0.3762235987541448,,
code[2854],14764,0.37319035286255,,
code[3363],14665,0.3706879250019843,,
code[1868],14334,0.36232122175100184,,
code[1988],14104,0.35650750045877844,,
code[203],13377,0.33813108576553313,,
code[1986],13349,0.33742332839082767,,
code[4659],13064,0.33021936939828994,,
code[1834],12998,0.32855108415791284,,
code[1800],12807,0.3237231677804577,,
code[1965],12641,0.3195271776304182,,
code[1701],12637,0.3194260694340317,,
code[4968],12235,0.309264695697189,,
code[744],12221,0.3089108170098363,,
code[5243],11964,0.30241461539200404,,
code[4474],11896,0.30069577605343367,,
code[1795],11753,0.2970811580326165,,
code[2718],11645,0.29435123673018115,,
code[4259],11531,0.2914696531331661,,
code[1817],11462,0.28972553674549906,,
code[1605],11162,0.282142422016512,,
code[5953],10847,0.27418015155107556,,
code[506],10714,0.27081830402122464,,
code[3743],10712,0.2707677499230314,,
code[1766],10621,0.26846753845523863,,
code[1782],10585,0.26755756468776015,,
code[5482],10520,0.26591455649647966,,
