experiment	condition	artifact_id	wasm	gzip	candid	metrics	result
b1-02-global-storage-registration	baseline	canonical_app	PASS	PASS	PASS	PASS	PASS
b1-02-global-storage-registration	baseline	canonical_index_hub	PASS	PASS	PASS	PASS	PASS
b1-02-global-storage-registration	baseline	canonical_test	PASS	PASS	PASS	PASS	PASS
b1-02-global-storage-registration	baseline	canonical_user_hub	PASS	PASS	PASS	PASS	PASS
b1-02-global-storage-registration	baseline	canonical_scale_hub	PASS	PASS	PASS	PASS	PASS
b1-02-global-storage-registration	baseline	canonical_index_child	PASS	PASS	PASS	PASS	PASS
b1-02-global-storage-registration	baseline	canonical_user_shard	PASS	PASS	PASS	PASS	PASS
b1-02-global-storage-registration	baseline	canonical_scale_replica	PASS	PASS	PASS	PASS	PASS
b1-02-global-storage-registration	baseline	canonical_root	PASS	PASS	PASS	PASS	PASS
b1-02-global-storage-registration	baseline	canonical_fleet_coordinator	PASS	PASS	PASS	PASS	PASS
b1-02-global-storage-registration	baseline	canonical_wasm_store	PASS	PASS	PASS	PASS	PASS
b1-02-global-storage-registration	variant	canonical_app	PASS	PASS	PASS	PASS	PASS
b1-02-global-storage-registration	variant	canonical_index_hub	PASS	PASS	PASS	PASS	PASS
b1-02-global-storage-registration	variant	canonical_test	PASS	PASS	PASS	PASS	PASS
b1-02-global-storage-registration	variant	canonical_user_hub	PASS	PASS	PASS	PASS	PASS
b1-02-global-storage-registration	variant	canonical_scale_hub	PASS	PASS	PASS	PASS	PASS
b1-02-global-storage-registration	variant	canonical_index_child	PASS	PASS	PASS	PASS	PASS
b1-02-global-storage-registration	variant	canonical_user_shard	PASS	PASS	PASS	PASS	PASS
b1-02-global-storage-registration	variant	canonical_scale_replica	PASS	PASS	PASS	PASS	PASS
b1-02-global-storage-registration	variant	canonical_root	PASS	PASS	PASS	PASS	PASS
b1-02-global-storage-registration	variant	canonical_fleet_coordinator	PASS	PASS	PASS	PASS	PASS
b1-02-global-storage-registration	variant	canonical_wasm_store	PASS	PASS	PASS	PASS	PASS
