canister	before_raw_bytes	after_raw_bytes	before_gzip_bytes	after_gzip_bytes	before_code_bytes	after_code_bytes	before_data_section_bytes	after_data_section_bytes	before_functions	after_functions
app	3067317	2887478	1020273	1039059	2827346	2650724	202577	200022	5369	4672
index_hub	2843118	2672270	943256	960608	2612651	2444607	193761	191602	5056	4346
test	3403236	3202037	1119669	1139866	3142734	2944773	216629	214090	5940	5189
user_hub	3538804	3330758	1171883	1188786	3276982	3072247	220849	218254	6256	5473
scale_hub	3457034	3252022	1141493	1157869	3198807	2997048	218405	215853	6062	5295
index_child	2599776	2443547	868576	885997	2378085	2224620	186873	184710	4653	3996
user_shard	3464190	3259113	1140899	1161338	3203202	3001399	217277	214712	6103	5341
scale_replica	3078355	2898207	1025182	1044134	2837328	2660428	202969	200385	5399	4700
root	7542918	7097112	2454567	2523593	7100961	6659744	336997	333748	10983	9596
fleet_coordinator	3721861	3497977	1182054	1215581	3468047	3247309	201465	199123	5324	4463
wasm_store	2608460	2452131	870170	890086	2408151	2254620	179229	177039	4922	4244
