canister	kind	release_wasm_bytes	release_gzip_bytes	debug_wasm_bytes	debug_gzip_bytes	debug_delta_bytes	debug_delta_percent	baseline_delta_bytes	baseline_delta_percent	functions	data_sections	data_bytes	exports	top_name	top_bytes	retained_name	retained_bytes
app	component	2887478	1039059	6503664	1620397	+3616186	125.24	N/A	N/A	4709	180	198528	9	code[926]	126498	table[0]	1188945
index_hub	component	2672270	960608	6111310	1519597	+3439040	128.69	N/A	N/A	4385	164	190241	9	code[857]	126497	table[0]	1041436
test	component	3202037	1139866	7271644	1818010	+4069607	127.09	N/A	N/A	5228	195	212473	11	code[1023]	126498	table[0]	1467065
user_hub	component	3330758	1188786	7589098	1903067	+4258340	127.85	N/A	N/A	5512	194	216646	14	code[1097]	126498	table[0]	1585863
scale_hub	component	3252022	1157869	7410414	1858900	+4158392	127.87	N/A	N/A	5334	194	214245	11	code[1050]	126498	table[0]	1514356
index_child	component	2443547	885997	5591079	1396431	+3147532	128.81	N/A	N/A	4035	154	183429	9	code[778]	126497	table[0]	841415
user_shard	component	3259113	1161338	7410085	1858964	+4150972	127.37	N/A	N/A	5384	195	213096	13	code[1053]	126498	table[0]	1453247
scale_replica	component	2898207	1044134	6525480	1628006	+3627273	125.16	N/A	N/A	4737	180	198891	10	code[932]	126498	table[0]	1197769
root	fleet-subnet-root	7097112	2523593	15943177	3952520	+8846065	124.64	N/A	N/A	9641	280	331442	11	code[7662]	241913	table[0]	4658570
fleet_coordinator	fleet-coordinator	3497977	1215581	7864111	1871070	+4366134	124.82	N/A	N/A	4497	233	197210	6	code[147]	255910	table[0]	1240111
wasm_store	wasm-store	2452131	890086	5566994	1395876	+3114863	127.03	N/A	N/A	4283	163	175684	10	code[820]	126542	table[0]	999590
