experiment	condition	repetition	artifact_id	canister	wasm_bytes	gzip_bytes	code_section_bytes	data_section_bytes	ic_wasm_total_functions	replica_limited_defined_functions	optimizer_defined_functions	table_minimum	element_entries	wasm_export_entries	ic_wasm_exported_methods	candid_bytes	candid_service_methods	wasm_sha256	gzip_sha256	candid_sha256	optimizer_before_raw	optimizer_before_gzip	optimizer_before_code	optimizer_before_data	optimizer_before_functions
b1-08-endpoint-candid-type-construction	variant	a	canonical_app	app	2867194	1033786	2650724	200055	4709	4672	4672	922	921	10	9	7861	0	710a282a0d33d40fcbae4ed73cdf195c538eebaafb5b74e0e648076cbca3c826	c24305a5b7bf5bd07501c0f1f815d14bfe28e74c63d4777d24a2537091dde488	0be4040d60d7c693319b362fb71ff9a9f5b5f50d420d0b760ffa41dbd2d375c8	3047000	1015436	2827346	202577	5369
b1-08-endpoint-candid-type-construction	variant	a	canonical_index_hub	index_hub	2652203	955888	2444607	191634	4385	4346	4346	860	859	10	9	7861	0	329b9c72eb7be51474f85a0c4352e62519423cb062418dcd69743ff34e9fd63a	4508aea8902ec96763b94be30c3d75ba6ef2316bd284ccf44621aa41a08c2eb4	0be4040d60d7c693319b362fb71ff9a9f5b5f50d420d0b760ffa41dbd2d375c8	2823019	938000	2612651	193761	5056
b1-08-endpoint-candid-type-construction	variant	a	canonical_test	test	3176129	1133633	2944773	214126	5228	5189	5189	973	972	12	11	7861	0	2071d252a356ef258bc4aeed5d5a151d8ab289ac28f064b8f51d8a88f93ec35b	94d09eb73977bd35faded34a4d528faec18a51461f2f9b11983c7d3d13561440	0be4040d60d7c693319b362fb71ff9a9f5b5f50d420d0b760ffa41dbd2d375c8	3377420	1113767	3142734	216757	5940
b1-08-endpoint-candid-type-construction	variant	a	canonical_user_hub	user_hub	3308237	1182927	3072247	218294	5512	5473	5473	980	979	15	14	7861	0	9bf72211066f902845542110335ac9a8218804685cd6daf90335d0d62dd02078	5630c34b43b07af286dea7d47c8a5d0e8583990f53163b11e62374c848de0b7f	0be4040d60d7c693319b362fb71ff9a9f5b5f50d420d0b760ffa41dbd2d375c8	3516243	1166262	3276982	220849	6256
b1-08-endpoint-candid-type-construction	variant	a	canonical_scale_hub	scale_hub	3230255	1152911	2997048	215891	5334	5295	5295	965	964	12	11	7861	0	79b18434fa625ba4233ae6684a566fd20ab885a84f5c7b6516eb078ec1f349aa	2a211b0bb1978f7db8b14f2660dc16010b461e0dbafcb4278661390544672552	0be4040d60d7c693319b362fb71ff9a9f5b5f50d420d0b760ffa41dbd2d375c8	3435229	1136056	3198807	218405	6062
b1-08-endpoint-candid-type-construction	variant	a	canonical_index_child	index_child	2424887	881163	2224620	184742	4035	3996	3996	837	836	10	9	7861	0	118cf65a37c2f2b3a7d2509d166973441fd63718043d95a94caaa06347fbb9ef	9ac2d71c28a115bc51b127c3bae119f8de5334b7a0ae223615eb80de44b7c430	0be4040d60d7c693319b362fb71ff9a9f5b5f50d420d0b760ffa41dbd2d375c8	2581084	864081	2378085	186873	4653
b1-08-endpoint-candid-type-construction	variant	a	canonical_user_shard	user_shard	3233715	1155776	3001399	214744	5384	5341	5341	977	976	14	13	7861	0	2c64894f033c68ef88c23a3632b9d18e9e0ddf2d6729fc904d1a5ea9c02ff832	b181d97bcf4d894b221419c657ecb703e52f576f31186bf73e1cdb43de188b2d	0be4040d60d7c693319b362fb71ff9a9f5b5f50d420d0b760ffa41dbd2d375c8	3438760	1134775	3203202	217277	6103
b1-08-endpoint-candid-type-construction	variant	a	canonical_scale_replica	scale_replica	2877339	1038749	2660428	200417	4737	4700	4700	925	924	11	10	7861	0	f14b54535813171991544d762f5e97af3634eb2e691ed87646962ae08a9adac3	82bb8d7b6d17119beeac50bf5a2709184397b8b8d8fe40869c3b73ab927bfc2c	0be4040d60d7c693319b362fb71ff9a9f5b5f50d420d0b760ffa41dbd2d375c8	3057455	1020021	2837328	202969	5399
b1-08-endpoint-candid-type-construction	variant	a	canonical_root	root	7015243	2506669	6659745	333806	9641	9596	9596	1652	1651	12	11	6115	0	b8a5e0fd6ceb9b694b64d3cadda83dc62d9aaea526ec830cb6c9c407d5f882f5	ed4b55c1cdbad91c2ad66e72ac23dd17c82f209e625f53bcc6d3b19ac9a5a0d6	1abe4366d3083f4f4130963293f30b833bd1c11993ba4cebacb7b56b0c373c98	7461119	2436989	7100962	337125	10983
b1-08-endpoint-candid-type-construction	variant	a	canonical_fleet_coordinator	fleet_coordinator	3497977	1215581	3247309	199123	4497	4463	4463	883	882	7	6	43510	2	99912d80cd27cbf7a80b6b3cf4526c08b682a63dd306294e0d8a2816eaa5b767	7c7c37fff6ba4522e3ec8f01cb64e3ad2f209e70deb354ffae5b82e4dfeee1dc	51fd22fd1e9c038d673fdabc6ea02881e12179199c73974f7d4637477e0d5c66	3721861	1182054	3468047	201465	5324
