experiment	condition	artifact_id	wasm	gzip	candid	metrics	result
b1-10-candid-serialization-newtypes	baseline	canonical_app	PASS	PASS	PASS	PASS	PASS
b1-10-candid-serialization-newtypes	baseline	canonical_index_hub	PASS	PASS	PASS	PASS	PASS
b1-10-candid-serialization-newtypes	baseline	canonical_test	PASS	PASS	PASS	PASS	PASS
b1-10-candid-serialization-newtypes	baseline	canonical_user_hub	PASS	PASS	PASS	PASS	PASS
b1-10-candid-serialization-newtypes	baseline	canonical_scale_hub	PASS	PASS	PASS	PASS	PASS
b1-10-candid-serialization-newtypes	baseline	canonical_index_child	PASS	PASS	PASS	PASS	PASS
b1-10-candid-serialization-newtypes	baseline	canonical_user_shard	PASS	PASS	PASS	PASS	PASS
b1-10-candid-serialization-newtypes	baseline	canonical_scale_replica	PASS	PASS	PASS	PASS	PASS
b1-10-candid-serialization-newtypes	baseline	canonical_root	PASS	PASS	PASS	PASS	PASS
b1-10-candid-serialization-newtypes	baseline	canonical_fleet_coordinator	PASS	PASS	PASS	PASS	PASS
b1-10-candid-serialization-newtypes	baseline	canonical_wasm_store	PASS	PASS	PASS	PASS	PASS
b1-10-candid-serialization-newtypes	baseline	runtime_probe	PASS	PASS	PASS	PASS	PASS
b1-10-candid-serialization-newtypes	baseline	payload_limit_probe	PASS	PASS	PASS	PASS	PASS
b1-10-candid-serialization-newtypes	baseline	blob_storage_probe	PASS	PASS	PASS	PASS	PASS
b1-10-candid-serialization-newtypes	variant	canonical_app	PASS	PASS	PASS	PASS	PASS
b1-10-candid-serialization-newtypes	variant	canonical_index_hub	PASS	PASS	PASS	PASS	PASS
b1-10-candid-serialization-newtypes	variant	canonical_test	PASS	PASS	PASS	PASS	PASS
b1-10-candid-serialization-newtypes	variant	canonical_user_hub	PASS	PASS	PASS	PASS	PASS
b1-10-candid-serialization-newtypes	variant	canonical_scale_hub	PASS	PASS	PASS	PASS	PASS
b1-10-candid-serialization-newtypes	variant	canonical_index_child	PASS	PASS	PASS	PASS	PASS
b1-10-candid-serialization-newtypes	variant	canonical_user_shard	PASS	PASS	PASS	PASS	PASS
b1-10-candid-serialization-newtypes	variant	canonical_scale_replica	PASS	PASS	PASS	PASS	PASS
b1-10-candid-serialization-newtypes	variant	canonical_root	PASS	PASS	PASS	PASS	PASS
b1-10-candid-serialization-newtypes	variant	canonical_fleet_coordinator	PASS	PASS	PASS	PASS	PASS
b1-10-candid-serialization-newtypes	variant	canonical_wasm_store	PASS	PASS	PASS	PASS	PASS
b1-10-candid-serialization-newtypes	variant	runtime_probe	PASS	PASS	PASS	PASS	PASS
b1-10-candid-serialization-newtypes	variant	payload_limit_probe	PASS	PASS	PASS	PASS	PASS
b1-10-candid-serialization-newtypes	variant	blob_storage_probe	PASS	PASS	PASS	PASS	PASS
