artifact_id	group	config_path	canister
canonical_app	canonical	apps/test/canic.toml	app
canonical_index_hub	canonical	apps/test/canic.toml	index_hub
canonical_test	canonical	apps/test/canic.toml	test
canonical_user_hub	canonical	apps/test/canic.toml	user_hub
canonical_scale_hub	canonical	apps/test/canic.toml	scale_hub
canonical_index_child	canonical	apps/test/canic.toml	index_child
canonical_user_shard	canonical	apps/test/canic.toml	user_shard
canonical_scale_replica	canonical	apps/test/canic.toml	scale_replica
canonical_root	canonical	apps/test/canic.toml	root
canonical_fleet_coordinator	canonical	apps/test/canic.toml	fleet_coordinator
canonical_wasm_store	canonical	apps/test/canic.toml	wasm_store
runtime_probe	fixture	canisters/test/runtime_probe/canic.toml	test
payload_limit_probe	fixture	canisters/test/payload_limit_probe/canic.toml	test
blob_storage_probe	fixture	canisters/test/blob_storage_probe/canic.toml	test
leaf_probe	fixture	canisters/audit/leaf_probe/canic.toml	app
