experiment	condition	repetition	artifact_id	canister	wasm_bytes	gzip_bytes	code_section_bytes	data_section_bytes	ic_wasm_total_functions	replica_limited_defined_functions	optimizer_defined_functions	table_minimum	element_entries	wasm_export_entries	ic_wasm_exported_methods	candid_bytes	candid_service_methods	wasm_sha256	gzip_sha256	candid_sha256	optimizer_before_raw	optimizer_before_gzip	optimizer_before_code	optimizer_before_data	optimizer_before_functions
b1-16-status-projection	baseline	a	canonical_app	app	2887487	1039109	2650724	200031	4709	4672	4672	922	921	10	9	28177	4	3106cf8a4c24b9966d74aaf1713c0bf356945f4b72294925abd0bdffba24349d	7514da06fa414d361c91a3d8b55ab8a58c8e53410398606803ed48a2fc579bbb	23a46a416a5337268ac729a02ef9d53d350e2adc0fe847d5f80097f01acf48b8	3067317	1020354	2827346	202577	5369
b1-16-status-projection	baseline	a	canonical_index_hub	index_hub	2672278	960516	2444607	191610	4385	4346	4346	860	859	10	9	27959	4	c37c6d82e502c2a0b6fdfd14e45daf025edcc31485fc39cf9486bfae1cc9fe08	ee0c35fe23493debc2e5e7bc57e314eef7ef9426df107002bfc1d71162b37e4f	f8dde730be71f9ddb0224dfb8f365685f2579d880cc37e98a6886b0535180c44	2843118	943205	2612651	193761	5056
b1-16-status-projection	baseline	a	canonical_test	test	3202049	1139956	2944773	214102	5228	5189	5189	973	972	12	11	33804	6	b7cbff012ba7a9a8af5ee7d424d81eb5ff9a478204883d78b0c73735a2dcb0c7	fd8b86175130086369b33ef6e0a34ca92ae492808b13c17add70b957c53e8bd2	d11737484d3563127fb6cb9f76d439a9f3e72556e977f70733e7d338985a4ad6	3403236	1119759	3142734	216629	5940
b1-16-status-projection	baseline	a	canonical_user_hub	user_hub	3330766	1188810	3072247	218262	5512	5473	5473	980	979	15	14	30421	9	ca4a106ac94471ef4a3ab771a90745e040e012b515f04a419622634e094cf0aa	8d7a78adead58e2046416bd3ac6916a67d1559f367d0ffae8f03f32706419252	905207f61736c3c53ed54fda3dd68252c44065199c26b194f2770d26368d4c16	3538804	1171866	3276982	220849	6256
b1-16-status-projection	baseline	a	canonical_scale_hub	scale_hub	3252038	1157860	2997048	215869	5334	5295	5295	965	964	12	11	29665	6	d4a3853f9db76c20f295db44c7d2f8205a1b58086237d583e0423da660c4387d	950dfa721f6be8ba420ee02dc1e029855c5fe38fc52dd7bd9b5447963723cac4	a4f07b544ad72d4fbe8dae44d64578f016f6b68aa95d89e9795724ea2c9dd5cb	3457034	1141414	3198807	218405	6062
b1-16-status-projection	baseline	a	canonical_index_child	index_child	2443555	885987	2224620	184718	4035	3996	3996	837	836	10	9	26552	4	4d4696daf846d052365abbfc7eaeaa0670d087a81a2391d3a4e87b2f3c8ce9fc	7d17a37347da567cf906296a66354881af49761741c43b35ba9defbdd96c28ec	e48c0cd06b2226b109bc232f10a3b0bfc2349974ac668fc26d28ae238da06b55	2599776	868568	2378085	186873	4653
b1-16-status-projection	baseline	a	canonical_user_shard	user_shard	3259121	1161359	3001399	214720	5384	5341	5341	977	976	14	13	33290	8	363eca18705fb89e8c44fe1e6090154882bff61e6b3ce1d5c0de57a01443135d	8b7d7a76970bcbc4f948aa1f5c8a049ff9b9a153118cb16763f8ff72eec23d9f	71ee0c358fad225f964aa71e01af12a3c08a72829c6fff189fc5d57d70698a96	3464190	1140945	3203202	217277	6103
b1-16-status-projection	baseline	a	canonical_scale_replica	scale_replica	2898215	1044091	2660428	200393	4737	4700	4700	925	924	11	10	28760	5	831445fd3e9780c39dde483400afc4a71d83456f41e324af41455bed1ca4d390	49067a80d504de20bc503d9bc914cc4959fa33fa395b7f810317890221df3d0f	a908ffd66c6777c6e00f587e85a80ccbe09513f73dfc09433fefec93dec4a344	3078355	1025137	2837328	202969	5399
b1-16-status-projection	baseline	a	canonical_root	root	7097171	2523686	6659745	333806	9641	9596	9596	1652	1651	12	11	88042	6	0dbc058282b5a689b92bd6de2be5bedb3de1731014ec3f929b897be8baabad8d	8b620e0539d93a3d85c3fc6b8498f697d4b0896d1b1f73331ddc09851f6a2d5a	806dde0018643605d58f496261e48ca0950db5391463c887c24c3bb34e63e4b4	7543047	2454740	7100962	337125	10983
b1-16-status-projection	baseline	a	canonical_fleet_coordinator	fleet_coordinator	3497977	1215581	3247309	199123	4497	4463	4463	883	882	7	6	43510	2	99912d80cd27cbf7a80b6b3cf4526c08b682a63dd306294e0d8a2816eaa5b767	7c7c37fff6ba4522e3ec8f01cb64e3ad2f209e70deb354ffae5b82e4dfeee1dc	51fd22fd1e9c038d673fdabc6ea02881e12179199c73974f7d4637477e0d5c66	3721861	1182054	3468047	201465	5324
b1-16-status-projection	baseline	a	canonical_wasm_store	wasm_store	2452131	890086	2254620	177039	4283	4244	4244	840	839	11	10	12459	5	9917751b526409179968fc949232ad9961f5e52948a0aa864d56061caaed3fd8	48609888291021b47252993b9f3ff58a18aa0457ba3c2802dcb56be6357b4d21	89e2f95c4ac284c099e95d2102df8995e0f5332c50a85e3f3d2ffed918e16fa6	2608460	870170	2408151	179229	4922
b1-16-status-projection	baseline	b	canonical_app	app	2887487	1039109	2650724	200031	4709	4672	4672	922	921	10	9	28177	4	3106cf8a4c24b9966d74aaf1713c0bf356945f4b72294925abd0bdffba24349d	7514da06fa414d361c91a3d8b55ab8a58c8e53410398606803ed48a2fc579bbb	23a46a416a5337268ac729a02ef9d53d350e2adc0fe847d5f80097f01acf48b8	3067317	1020354	2827346	202577	5369
b1-16-status-projection	baseline	b	canonical_index_hub	index_hub	2672278	960516	2444607	191610	4385	4346	4346	860	859	10	9	27959	4	c37c6d82e502c2a0b6fdfd14e45daf025edcc31485fc39cf9486bfae1cc9fe08	ee0c35fe23493debc2e5e7bc57e314eef7ef9426df107002bfc1d71162b37e4f	f8dde730be71f9ddb0224dfb8f365685f2579d880cc37e98a6886b0535180c44	2843118	943205	2612651	193761	5056
b1-16-status-projection	baseline	b	canonical_test	test	3202049	1139956	2944773	214102	5228	5189	5189	973	972	12	11	33804	6	b7cbff012ba7a9a8af5ee7d424d81eb5ff9a478204883d78b0c73735a2dcb0c7	fd8b86175130086369b33ef6e0a34ca92ae492808b13c17add70b957c53e8bd2	d11737484d3563127fb6cb9f76d439a9f3e72556e977f70733e7d338985a4ad6	3403236	1119759	3142734	216629	5940
b1-16-status-projection	baseline	b	canonical_user_hub	user_hub	3330766	1188810	3072247	218262	5512	5473	5473	980	979	15	14	30421	9	ca4a106ac94471ef4a3ab771a90745e040e012b515f04a419622634e094cf0aa	8d7a78adead58e2046416bd3ac6916a67d1559f367d0ffae8f03f32706419252	905207f61736c3c53ed54fda3dd68252c44065199c26b194f2770d26368d4c16	3538804	1171866	3276982	220849	6256
