field	value
experiment	b1-17-page-generic-cohort
run_mode	qualify
sequence	17
source_commit	50f40171d6177c3d1e490b1fdb5f6163323b2cd5
source_tree	5a66988735c707b188d9d1fe03a3ed3b4ff7a273
baseline_cargo_lock_sha256	0fd6c7897d08e6a0f4e436caaf319ba24ebc32236434010b5c6ae3507f663147
measured_cargo_lock_sha256	1bddd6db6ec39e6e91dc816d93817481d65d82b2a9906272c9bc5745887b7bc1
switch_kind	env_matrix
switch_value	scripts/ci/wasm-ablation-patches/b1-17-page-generic-cohort-named-diagnostic.patch
switch_sha256	d907594ad04aad680617833523d73a8466b137784e1e552c96ebb350b0a2c095
switch_diff_sha256	22c5d36a111c4621d739fd2dcc90a02e5fc9c7c777d4963ec4bc3da2448544f2
immediate_baseline	b1-01-current-baseline
artifact_selectors	leaf_probe
measured_artifacts	leaf_probe
instruction_evidence	symbol diagnostic only; compare executable sections with retained canonical widths before mapping
source_owners	Cargo.lock;canisters/audit/leaf_probe;crates/canic-core/src/dto/page.rs;crates/canic/src/macros/endpoints/role.rs;Cargo.toml;crates/canic-host/src/artifact_io/mod.rs
runner_source_sha256	b58e97cfc3d667dfe1d21871ebc49a973857f31c496575023bd338d591805635
build_harness_source_sha256	58f2453cae5124246666f8b53eca37040ef3bd2c829e624d7dec0e3864056f91
build_harness_cargo_lock_sha256	bc1c13d66e8fad878a3b3d443a8a5c2d2d64bb45b8f7dfb894e004b93f5d0b62
replica_function_counter_identity	canic-b1-replica-function-count/v1	ic_source_commit=2f8dc21e2e5c37a4cae7f65d2a4230ac8f143e5a	quantity=local-defined-functions	limit=50000
replica_function_counter_source_sha256	bcab127a0a188a1f013eb70c09e595b023fecd6ff55cddaa9a2eb1e40abb6e01
replica_function_counter_executable_sha256	1df29feb74559db6ae683d0e60f4f6a164f664acb568d3d5436321f42d7d14e0
frozen_ic_validator_commit	2f8dc21e2e5c37a4cae7f65d2a4230ac8f143e5a
ic_replica_max_defined_functions	50000
ic_replica_required_function_reserve	2500
retention_eligible	no
determinism_repetitions	1
determinism_claim	not_claimed
execution_path_sha256	6b21cf14801d3b3a0d050c5b6599bd51ca451cd07b78a546094f1430dd8ba164
cargo_version	cargo 1.97.1 (c980f4866 2026-06-30)
rustc_version	rustc 1.97.1 (8bab26f4f 2026-07-14)
ic_wasm_version	ic-wasm 0.11.1
didc_version	didc 0.5.4
wasm_objdump_version	1.0.34
wasm_validate_version	1.0.34
