field	value
experiment	b1-18-pool-ledger-hard-cut
run_mode	qualify
sequence	18
source_commit	f9009d5ae7be78d4f9dd746431584368770e8364
source_tree	b185a39fe3143eea5e44455f744274aca3aaded8
baseline_cargo_lock_sha256	ab03456c933b3205916d2fbd636a58f93488878f36ade7aa1017437d5f147d5f
measured_cargo_lock_sha256	7b51918da7daffa31307ef8c9ccbda2984d7d45954286177f59973449c1f2b79
switch_kind	historical_pair
switch_value	scripts/ci/wasm-ablation-patches/b1-18-pool-ledger-family-removal.patch
switch_sha256	516140429e9e37f31d11ff81cc7291422f76c4c3f4f2211c0dfea6fbd17141f2
switch_diff_sha256	d6ff6df8ea5cd6adbfbf52301697e71e3056c8022a76edb9ac59207298f8a946
preparation_patch	scripts/ci/wasm-ablation-patches/b1-18-historical-roster-preparation.patch
preparation_sha256	e24ee347de290cf23d7ed77665c33d9791a3865750e1ebc32d880fd91686739c
baseline_prepared_source_sha256	e3eb529e02b5b9a3a4f5b1b6756b2c7234610152bd4dc8b4ba5d7b620fe292c2
variant_prepared_source_sha256	427c7af21ed844eaccb0c3de45757eef81895c5f8cb82f3f7530ef1f644f8219
baseline_only_artifacts	historical_pool_ledger_recovery
immediate_baseline	v0.110.2
artifact_selectors	canonical,historical_pool_ledger_recovery
measured_artifacts	historical_pool_ledger_recovery
instruction_evidence	build-only historical family attribution; common current roster; no runtime parity claim
source_owners	crates/canic;crates/canic-control-plane;crates/canic-core;crates/canic-host
runner_source_sha256	929f76c41f5e18e6690ecc82d42116fbe89fd92eb8d398330e4fe1cce3fda055
build_harness_source_sha256	58f2453cae5124246666f8b53eca37040ef3bd2c829e624d7dec0e3864056f91
build_harness_cargo_lock_sha256	1562113cfae6dc23ea2bde228e3e0a7095a8cc07afdf9abc8305222239799b4a
replica_function_counter_identity	canic-b1-replica-function-count/v1	ic_source_commit=2f8dc21e2e5c37a4cae7f65d2a4230ac8f143e5a	quantity=local-defined-functions	limit=50000
replica_function_counter_source_sha256	bcab127a0a188a1f013eb70c09e595b023fecd6ff55cddaa9a2eb1e40abb6e01
replica_function_counter_executable_sha256	1df29feb74559db6ae683d0e60f4f6a164f664acb568d3d5436321f42d7d14e0
frozen_ic_validator_commit	2f8dc21e2e5c37a4cae7f65d2a4230ac8f143e5a
ic_replica_max_defined_functions	50000
ic_replica_required_function_reserve	2500
retention_eligible	no
determinism_repetitions	1
determinism_claim	not_claimed
execution_path_sha256	2f3b24253b603fdbee3a068439e0736453d7d22fefac18d36b04b680e41d1d7d
cargo_version	cargo 1.97.1 (c980f4866 2026-06-30)
rustc_version	rustc 1.97.1 (8bab26f4f 2026-07-14)
ic_wasm_version	ic-wasm 0.11.1
didc_version	didc 0.5.4
wasm_objdump_version	1.0.34
wasm_validate_version	1.0.34
