field	value
experiment	b1-18-pool-ledger-hard-cut
run_mode	retained
sequence	18
source_commit	f9009d5ae7be78d4f9dd746431584368770e8364
source_tree	b185a39fe3143eea5e44455f744274aca3aaded8
baseline_cargo_lock_sha256	ab03456c933b3205916d2fbd636a58f93488878f36ade7aa1017437d5f147d5f
measured_cargo_lock_sha256	530d8edc77e460fe6d61d8027c3e326fd5f1785abc46778b8ca7cd8a0d1d03eb
switch_kind	historical_pair
switch_value	scripts/ci/wasm-ablation-patches/b1-18-pool-ledger-family-removal.patch
switch_sha256	516140429e9e37f31d11ff81cc7291422f76c4c3f4f2211c0dfea6fbd17141f2
switch_diff_sha256	ce5bb3e6b04f835b13982136b120d41f19e879441d2d9876d13d19fb15dc5466
preparation_patch	scripts/ci/wasm-ablation-patches/b1-18-historical-roster-preparation.patch
preparation_sha256	0afebd7cfd003bfabd5924e16ed44e28e5eca26daaf018fa6bd3541bccf42189
baseline_prepared_source_sha256	18253ae1208d52087901d33019d122d04454ce5883bacbad4f03d6a4d486c74d
variant_prepared_source_sha256	9bf19a0f724cbf26b94eb6c415812274c8fe8d80df77373d8c0d014335ee3657
baseline_only_artifacts	historical_pool_ledger_recovery
immediate_baseline	v0.110.2
artifact_selectors	canonical,historical_pool_ledger_recovery
measured_artifacts	canonical_app,canonical_index_hub,canonical_test,canonical_user_hub,canonical_scale_hub,canonical_index_child,canonical_user_shard,canonical_scale_replica,canonical_root,canonical_fleet_coordinator,canonical_wasm_store,historical_pool_ledger_recovery
instruction_evidence	build-only historical family attribution; common current roster; no runtime parity claim
source_owners	crates/canic;crates/canic-control-plane;crates/canic-core;crates/canic-host
runner_source_sha256	e7a89a8ed20b6f7b3bd6f88a3d6173e7fe9804b648743606879b6e012b4a405b
build_harness_source_sha256	58f2453cae5124246666f8b53eca37040ef3bd2c829e624d7dec0e3864056f91
build_harness_cargo_lock_sha256	1562113cfae6dc23ea2bde228e3e0a7095a8cc07afdf9abc8305222239799b4a
build_harness_baseline_executable_sha256	e4b429a0c44b9cc052116ec9e23d3cfc09f1046f028d7cbb11a5bb0e434ac9cb
build_harness_variant_executable_sha256	4fa319fca14104039a5a3a16e75ec148e9d0a98a9a8151d93ef38703611acbaf
replica_function_counter_identity	canic-b1-replica-function-count/v1	ic_source_commit=2f8dc21e2e5c37a4cae7f65d2a4230ac8f143e5a	quantity=local-defined-functions	limit=50000
replica_function_counter_source_sha256	bcab127a0a188a1f013eb70c09e595b023fecd6ff55cddaa9a2eb1e40abb6e01
replica_function_counter_executable_sha256	1df29feb74559db6ae683d0e60f4f6a164f664acb568d3d5436321f42d7d14e0
frozen_ic_validator_commit	2f8dc21e2e5c37a4cae7f65d2a4230ac8f143e5a
ic_replica_max_defined_functions	50000
ic_replica_required_function_reserve	2500
retention_eligible	yes
determinism_repetitions	2
determinism_claim	pass
execution_path_sha256	dd250263dc4e1f19f23bcfb66e0fb7335c7073449d4d1b121d2ffa76a8e8e05e
cargo_version	cargo 1.97.1 (c980f4866 2026-06-30)
rustc_version	rustc 1.97.1 (8bab26f4f 2026-07-14)
ic_wasm_version	ic-wasm 0.11.1
didc_version	didc 0.5.4
wasm_objdump_version	1.0.34
wasm_validate_version	1.0.34
