index,bucket_start,bucket_start_offset_ns,bucket_duration_ns,source_x_px,source_y_px,height_px,height_ppm,target_visible_cycles_per_second,target_visible_Bcycles_per_second
0,00:00:00.000,0,100465116279,0,112.460,29.039,598754,129937700000,129.937700000
1,00:01:40.465,100465116279,100465116279,1,111.913,29.586,610033,130501650000,130.501650000
2,00:03:20.930,200930232558,100465116279,2,110.494,31.005,639291,131964550000,131.964550000
3,00:05:01.395,301395348837,100465116279,3,109.471,32.028,660384,133019200000,133.019200000
4,00:06:41.860,401860465116,100465116279,4,108.484,33.015,680735,134036750000,134.036750000
5,00:08:22.325,502325581395,100465116279,5,107.455,34.044,701952,135097600000,135.097600000
6,00:10:02.790,602790697674,100465116279,6,106.469,35.030,722282,136114100000,136.114100000
7,00:11:43.255,703255813953,100465116279,7,105.491,36.008,742448,137122400000,137.122400000
8,00:13:23.720,803720930232,100465116279,8,104.442,37.057,764077,138203850000,138.203850000
9,00:15:04.186,904186046511,100465116279,9,103.441,38.058,784717,139235850000,139.235850000
10,00:16:44.651,1004651162790,100465116279,10,102.463,39.036,804882,140244100000,140.244100000
11,00:18:25.116,1105116279069,100465116279,11,101.453,40.046,825707,141285350000,141.285350000
12,00:20:05.581,1205581395348,100465116279,12,100.503,40.996,845295,142264750000,142.264750000
13,00:21:46.046,1306046511627,100465116279,13,101.016,40.483,834718,141735900000,141.735900000
14,00:23:26.511,1406511627906,100465116280,14,101.503,39.996,824676,141233800000,141.233800000
15,00:25:06.976,1506976744186,100465116279,15,102.534,38.965,803418,140170900000,140.170900000
16,00:26:47.441,1607441860465,100465116279,16,103.544,37.955,782593,139129650000,139.129650000
17,00:28:27.906,1707906976744,100465116279,17,105.005,36.494,752469,137623450000,137.623450000
18,00:30:08.372,1808372093023,100465116279,18,105.971,35.528,732551,136627550000,136.627550000
19,00:31:48.837,1908837209302,100465116279,19,107.444,34.055,702179,135108950000,135.108950000
20,00:33:29.302,2009302325581,100465116279,20,108.040,33.459,689890,134494500000,134.494500000
21,00:35:09.767,2109767441860,100465116279,21,109.025,32.474,669580,133479000000,133.479000000
22,00:36:50.232,2210232558139,100465116279,22,110.079,31.420,647848,132392400000,132.392400000
23,00:38:30.697,2310697674418,100465116279,23,111.476,30.023,619043,130952150000,130.952150000
24,00:40:11.162,2411162790697,100465116279,24,112.503,28.996,597867,129893350000,129.893350000
25,00:41:51.627,2511627906976,100465116279,25,113.050,28.449,586589,129329450000,129.329450000
26,00:43:32.093,2612093023255,100465116279,26,113.566,27.933,575950,128797500000,128.797500000
27,00:45:12.558,2712558139534,100465116279,27,114.447,27.052,557784,127889200000,127.889200000
28,00:46:53.023,2813023255813,100465116280,28,114.509,26.990,556506,127825300000,127.825300000
29,00:48:33.488,2913488372093,100465116279,29,114.568,26.931,555289,127764450000,127.764450000
30,00:50:13.953,3013953488372,100465116279,30,115.448,26.051,537145,126857250000,126.857250000
31,00:51:54.418,3114418604651,100465116279,31,115.495,26.004,536176,126808800000,126.808800000
32,00:53:34.883,3214883720930,100465116279,32,116.000,25.499,525763,126288150000,126.288150000
33,00:55:15.348,3315348837209,100465116279,33,116.429,25.070,516917,125845850000,125.845850000
34,00:56:55.813,3415813953488,100465116279,34,116.483,25.016,515804,125790200000,125.790200000
35,00:58:36.279,3516279069767,100465116279,35,116.531,24.968,514814,125740700000,125.740700000
36,01:00:16.744,3616744186046,100465116279,36,117.000,24.499,505144,125257200000,125.257200000
37,01:01:57.209,3717209302325,100465116279,37,117.457,24.042,495721,124786050000,124.786050000
38,01:03:37.674,3817674418604,100465116279,38,117.529,23.970,494236,124711800000,124.711800000
39,01:05:18.139,3918139534883,100465116279,39,118.000,23.499,484525,124226250000,124.226250000
40,01:06:58.604,4018604651162,100465116279,40,118.442,23.057,475411,123770550000,123.770550000
41,01:08:39.069,4119069767441,100465116279,41,118.485,23.014,474525,123726250000,123.726250000
42,01:10:19.534,4219534883720,100465116280,42,118.542,22.957,473349,123667450000,123.667450000
43,01:12:00.000,4320000000000,100465116279,43,119.456,22.043,454504,122725200000,122.725200000
44,01:13:40.465,4420465116279,100465116279,44,119.556,21.943,452442,122622100000,122.622100000
45,01:15:20.930,4520930232558,100465116279,45,120.974,20.525,423204,121160200000,121.160200000
