sequence	experiment	state	switch_kind	switch_value	switch_sha256	artifact_selectors	immediate_baseline	instruction_evidence	source_owners
01	b1-01-current-baseline	ready	none	-	-	canonical,runtime_probe,payload_limit_probe,blob_storage_probe,leaf_probe	-	canonical journeys plus fixture-specific journeys	apps/test/canic.toml;canisters/test/runtime_probe;canisters/test/payload_limit_probe;canisters/test/blob_storage_probe;canisters/audit/leaf_probe
02	b1-02-global-storage-registration	ready	patch	scripts/ci/wasm-ablation-patches/b1-02-global-storage-registration.patch	9b66e1d344c4f73df993e50fba243dbf6f601fe876ead62b155868649cce7c13	canonical	b1-01-current-baseline	build-only until storage bootstrap parity is attached	crates/canic-core/src/memory_macros.rs;crates/canic-core/src/storage/stable
03	b1-03-activation-record-codecs	ready	patch	scripts/ci/wasm-ablation-patches/b1-03-activation-record-codecs.patch	a328aa466efe264d4edd497b105121e3c055235081fc3d63e227abb55199f79b	canonical	b1-01-current-baseline	build-only inclusive attribution; no activation parity or isolated-codec claim	crates/canic-core/src/model/mod.rs;crates/canic-core/src/model/fleet_activation;crates/canic-core/src/storage/stable/mod.rs;crates/canic-core/src/storage/stable/fleet_activation;crates/canic-core/src/ops/storage/mod.rs;crates/canic-core/src/ops/storage/fleet_activation;crates/canic-core/src/state_contract.rs
04	b1-04-authorization-record-codecs	ready	patch	scripts/ci/wasm-ablation-patches/b1-04-authorization-record-codecs.patch	0acbbfc0677aaab1e078e6ba8de203a2da0470d6e4a55e66e209e41c89f13f2b	canonical,runtime_probe	b1-01-current-baseline	build-only stable-codec attribution; no persistence or authorization parity claim	crates/canic-core/src/model/auth;crates/canic-core/src/storage/stable/auth;crates/canic-core/src/ops/storage/auth;crates/canic-core/src/ops/auth;crates/canic-core/src/workflow/runtime/auth
05	b1-05-relevant-cbor-stub	ready	patch	scripts/ci/wasm-ablation-patches/b1-05-relevant-cbor-stub.patch	1f9f218fb741940c477b4e5b4a457f3f3fd17269d9f0e215da7fc484c55e25b7	canonical,runtime_probe,blob_storage_probe	b1-01-current-baseline	build-only shared-helper attribution; no codec or persistence parity claim	crates/canic-core/src/cdk/serialize.rs;crates/canic-core/src/cdk/mod.rs;crates/canic-core/src/storage/stable;crates/canic-core/src/ops/storage/fleet_activation;crates/canic-control-plane/src/ops/component_registry
06	b1-06-unconditional-recovery-dispatch	specified	patch	scripts/ci/wasm-ablation-patches/b1-06-unconditional-recovery-dispatch.patch	37bcd14362830bf8cf6fd154309660c5dde951681a0c8cd318c2d1b14f58cf50	canonical,runtime_probe	b1-01-current-baseline	build-only dispatch attribution; no watchdog recovery parity claim	crates/canic-core/src/workflow/runtime/timer;crates/canic-core/src/api/timer.rs;crates/canic-core/src/workflow/runtime/async_job;crates/canic-core/src/workflow/runtime/auth;crates/canic-core/src/workflow/runtime/cycles;crates/canic-core/src/workflow/placement/acknowledgement.rs;crates/canic-control-plane/src/workflow/canister_pool
07	b1-07-exact-role-capability-expansion	planned	patch	scripts/ci/wasm-ablation-patches/b1-07-exact-role-capability-expansion.patch	-	canonical	b1-01-current-baseline	canonical lifecycle and protocol-surface parity	crates/canic/src/macros/build.rs;crates/canic/src/macros/start.rs;crates/canic/src/macros/endpoints
08	b1-08-endpoint-candid-type-construction	specified	patch	scripts/ci/wasm-ablation-patches/b1-08-endpoint-candid-type-construction.patch	56edcb05418ec2b8b719e55aa9a226fd813798de4eeee4a45cb16bf938fa8d5c	canonical,runtime_probe,payload_limit_probe,blob_storage_probe	b1-01-current-baseline	build-only declaration-construction attribution; no Candid or profile-metadata parity claim	crates/canic-macros/src/endpoint/expand
09	b1-09-candid-type-documentation	planned	patch	scripts/ci/wasm-ablation-patches/b1-09-candid-type-documentation.patch	-	canonical,runtime_probe,payload_limit_probe,blob_storage_probe	b1-01-current-baseline	build-only attribution; runtime journey inapplicable	crates/canic-core/src/dto;crates/canic-core/src/ids;crates/canic/src/macros/endpoints
10	b1-10-candid-serialization-newtypes	specified	patch	scripts/ci/wasm-ablation-patches/b1-10-candid-serialization-newtypes.patch	d3f9497af1bf9e23db5cf45881bb6ca3c59ee2676900d1063d8389f165d2a813	canonical,runtime_probe,payload_limit_probe,blob_storage_probe	b1-01-current-baseline	build-only endpoint-reply attribution; no reply or wire parity claim	crates/canic-core/src/ids;crates/canic-core/src/dto;crates/canic-macros/src/endpoint/expand
11	b1-11-payload-limited-async-adapters	ready	patch	scripts/ci/wasm-ablation-patches/b1-11-payload-limited-async-adapters.patch	5807cfe5496f8b4ca4cf965475ad19777221311afd6f378ad3f2c51741bd4abd	payload_limit_probe	b1-01-current-baseline	build-only raw-adapter attribution; no canister-call payload-limit parity claim	crates/canic-macros/src/endpoint/expand;crates/canic-core/src/ingress/payload.rs
12	b1-12-metrics-providers	specified	patch	scripts/ci/wasm-ablation-patches/b1-12-metrics-providers.patch	03fa9ecaf96e7edc2506a34859a65dafbe02b3f064322044bfa6919e508a0c9e	canonical	b1-01-current-baseline	build-only metrics-provider attribution; no metrics parity claim	crates/canic/src/macros/endpoints/role.rs;crates/canic-core/src/ops/runtime/metrics
13	b1-13-configuration-provisioning-providers	planned	patch	scripts/ci/wasm-ablation-patches/b1-13-configuration-provisioning-providers.patch	-	canonical	b1-01-current-baseline	build-only attribution; no provisioning parity claim	crates/canic/src/macros/endpoints/root.rs;crates/canic-control-plane/src/api/component_provisioning.rs;crates/canic-control-plane/src/workflow/component_provisioning.rs;crates/canic-core/src/api/config.rs
14	b1-14-command-providers	planned	patch	scripts/ci/wasm-ablation-patches/b1-14-command-providers.patch	-	canonical	b1-01-current-baseline	build-only attribution; no command parity claim	crates/canic/src/macros/endpoints/role.rs;crates/canic/src/macros/endpoints/root.rs;crates/canic/src/macros/endpoints/fleet_coordinator.rs;crates/canic/src/macros/endpoints/wasm_store.rs
15	b1-15-timer-watchdog-providers	planned	patch	scripts/ci/wasm-ablation-patches/b1-15-timer-watchdog-providers.patch	-	canonical,runtime_probe	b1-01-current-baseline	build-only until lifecycle and timer journeys are attached	crates/canic/src/macros/start.rs;crates/canic-core/src/api/timer.rs;crates/canic-core/src/workflow/runtime/timer;crates/canic-control-plane/src/workflow/canister_pool
16	b1-16-status-projection	planned	patch	scripts/ci/wasm-ablation-patches/b1-16-status-projection.patch	-	canonical	b1-01-current-baseline	build-only attribution; no status parity claim	crates/canic/src/macros/endpoints/role.rs;crates/canic/src/macros/endpoints/root.rs;crates/canic/src/macros/endpoints/fleet_coordinator.rs;crates/canic/src/macros/endpoints/wasm_store.rs
17	b1-17-page-generic-cohort	ready	env_matrix	CANIC_GENERIC_COHORT_WIDTH=1..5	-	leaf_probe	b1-01-current-baseline	absent until a representative fixture journey exists	canisters/audit/leaf_probe;crates/canic-core/src/dto/page.rs;crates/canic/src/macros/endpoints/role.rs
18	b1-18-pool-ledger-hard-cut	planned	cross_commit	v0.109.35..candidate	-	canonical	v0.109.35	compatible predecessor artifact comparison	crates/canic-fleet-coordinator;crates/canic-wasm-store;crates/canic-control-plane;crates/canic-core;crates/canic-host
